gene_ID	hgnc_symbol	chr	strand	start	end	PITX1_PTC_log2FoldChange	PITX1_PTC_pvalue	PITX1_PTC_padj
ENSG00000183513	COA5	chr2	-	98599314	98608515	0.0261	0.854	1
ENSG00000257698	GIHCG	chr12	-	57930115	57936345	-1.01	0.645	1
ENSG00000286746		chr13	-	80697177	81017737	0.691	0.78	1
ENSG00000180667	YOD1	chr1	-	207043849	207052980	-0.2	0.012	0.563
ENSG00000172922	RNASEH2C	chr11	-	65714005	65720818	0.0161	0.889	1
ENSG00000279440		chr22	+	27019369	27024550	-2.3	0.475	
ENSG00000288043		chr12	+	7954216	7972759	0.621	0.0755	1
ENSG00000120075	HOXB5	chr17	-	48591257	48593779	-0.111	0.957	1
ENSG00000167261	DPEP2	chr16	-	67987394	68000586	0.133	0.766	1
ENSG00000196747	H2AC13	chr6	+	27808173	27808667	0.221	0.124	1
ENSG00000259363		chr15	+	99805793	99916818	0.324	0.692	1
ENSG00000224167	LINC01357	chr1	+	112849821	112877878	-0.141	0.5	1
ENSG00000100028	SNRPD3	chr22	+	24555958	24582052	-0.0897	0.321	1
ENSG00000137947	GTF2B	chr1	-	88852633	88891944	-0.0604	0.605	1
ENSG00000064666	CNN2	chr19	+	1026586	1039068	0.0485	0.525	1
ENSG00000291217		chr1	-	243056307	243101744	0.671	0.232	1
ENSG00000255422		chr11	+	118700415	118750263	-0.52	0.726	1
ENSG00000017797	RALBP1	chr18	+	9475009	9538114	-0.194	0.00551	0.357
ENSG00000116741	RGS2	chr1	+	192809039	192812275	-0.0958	0.324	1
ENSG00000141744	PNMT	chr17	+	39667981	39670475	2.62	0.458	1
ENSG00000286285		chr1	+	193457422	193465198	-0.361	0.717	1
ENSG00000168925	CTRB1	chr16	+	75218988	75226338	-0.588	0.722	1
ENSG00000072422	RHOBTB1	chr10	-	60869438	61001440	-0.138	0.22	1
ENSG00000232536		chr1	+	151540516	151561855	0.602	0.285	1
ENSG00000121579	NAA50	chr3	-	113716458	113746300	-0.0594	0.42	1
ENSG00000089009	RPL6	chr12	-	112405189	112418838	-0.0561	0.331	1
ENSG00000260257		chr20	+	32856621	32858751	0.302	0.0696	1
ENSG00000116396	KCNC4	chr1	+	110210314	110283100	0.536	0.268	1
ENSG00000180817	PPA1	chr10	-	70202835	70233911	-0.0181	0.824	1
ENSG00000272103		chr5	-	36861736	36867238	0.644	0.675	1
ENSG00000277149	TYW1B	chr7	-	72558744	72828200	-0.116	0.495	1
ENSG00000104879	CKM	chr19	-	45306413	45322875	-0.842	0.772	1
ENSG00000261065		chr1	+	204131062	204131966	1.56	0.0223	0.781
ENSG00000173120	KDM2A	chr11	+	67119263	67258082	-0.125	0.0669	1
ENSG00000268858		chr20	-	63861212	63864293	-0.024	0.92	1
ENSG00000178809	TRIM73	chr7	+	75395063	75410996	0.167	0.454	1
ENSG00000158234	FAIM	chr3	+	138608606	138633376	0.474	0.0622	1
ENSG00000213793	ZNF888	chr19	-	52904415	52923470	0.147	0.138	1
ENSG00000081277	PKP1	chr1	+	201283452	201332993	0.304	0.405	1
ENSG00000198053	SIRPA	chr20	+	1894167	1940592	0.023	0.86	1
ENSG00000178222	RNF212	chr4	-	1056250	1113564	-1.21	0.0485	1
ENSG00000161920	MED11	chr17	+	4731428	4733608	-0.0894	0.644	1
ENSG00000290127		chr1	+	197201486	197201943	0.0855	0.967	1
ENSG00000113749	HRH2	chr5	+	175658030	175710756	-0.00483	0.993	1
ENSG00000152219	ARL14EP	chr11	+	30323104	30338223	0.089	0.627	1
ENSG00000128708	HAT1	chr2	+	171922448	171983686	-0.00922	0.928	1
ENSG00000173621	LRFN4	chr11	+	66856647	66860475	0.306	0.572	1
ENSG00000165309	ARMC3	chr10	+	22928024	23038523	1.1	0.332	1
ENSG00000120333	MRPS14	chr1	-	175010789	175023425	-0.0339	0.788	1
ENSG00000138175	ARL3	chr10	-	102673731	102714397	-0.225	0.181	1
ENSG00000290463		chr19	+	11680944	11686259	18.9	7.87e-18	4.5e-15
ENSG00000285567		chr16	+	5103339	5235822	0.606	0.865	
ENSG00000116525	TRIM62	chr1	-	33145399	33182059	0.471	0.109	1
ENSG00000184292	TACSTD2	chr1	-	58575433	58577252	-0.356	0.124	1
ENSG00000140829	DHX38	chr16	+	72093613	72112912	0.0136	0.866	1
ENSG00000102595	UGGT2	chr13	-	95801580	96053482	0.111	0.216	1
ENSG00000120440	TTLL2	chr6	+	167325071	167359503	-0.704	0.506	1
ENSG00000237753	SLC20A1-DT	chr2	-	112641832	112645720	0.198	0.833	1
ENSG00000134748	PRPF38A	chr1	+	52404602	52420836	-0.121	0.18	1
ENSG00000230623		chr1	+	200333193	200478669	-0.492	0.29	1
ENSG00000104321	TRPA1	chr8	-	72019917	72075584	1.04	0.219	1
ENSG00000118193	KIF14	chr1	-	200551497	200620751	0.0321	0.725	1
ENSG00000198553	KCNRG	chr13	+	50015254	50020922	-0.149	0.775	1
ENSG00000170128	GPR25	chr1	+	200872981	200874178	-1.05	0.623	1
ENSG00000272449		chr1	+	2530064	2547471	0.416	0.207	1
ENSG00000267855	NDUFA7	chr19	-	8308768	8321375	-0.28	0.0413	0.989
ENSG00000236915	CLCA4-AS1	chr1	-	86569024	86704484	-0.424	0.377	1
ENSG00000166435	XRRA1	chr11	-	74807739	74949200	-0.164	0.505	1
ENSG00000152242	C18orf25	chr18	+	46173553	46266992	0.011	0.91	1
ENSG00000075856	SART3	chr12	-	108522214	108561400	-0.0534	0.447	1
ENSG00000072954	TMEM38A	chr19	+	16661139	16690023	0.325	0.44	1
ENSG00000204152	TIMM23B	chr10	+	49942049	49974850	0.113	0.595	1
ENSG00000139180	NDUFA9	chr12	+	4649095	4694317	-0.0791	0.425	1
ENSG00000280639	LINC02204	chr15	-	70570958	70586606	0.402	0.671	1
ENSG00000148082	SHC3	chr9	-	89005771	89178818	0.0949	0.922	1
ENSG00000249306	LINC01411	chr5	+	174336295	174532457	1.77	0.373	1
ENSG00000271856	LINC01215	chr3	+	108125821	108138610	-0.31	0.665	1
ENSG00000174600	CMKLR1	chr12	-	108288044	108339317	-0.352	0.682	1
ENSG00000118194	TNNT2	chr1	-	201359008	201377764	-0.0816	0.641	1
ENSG00000180988	OR52N2	chr11	+	5808924	5821483	-0.246	0.908	1
ENSG00000284747		chr1	+	7991134	8005312	-0.781	0.396	1
ENSG00000177464	GPR4	chr19	-	45589764	45602212	1.85	0.507	
ENSG00000188316	ENO4	chr10	+	116849499	116911788	-1.1	0.712	
ENSG00000166189	HPS6	chr10	+	102065349	102068036	0.0654	0.752	1
ENSG00000159166	LAD1	chr1	-	201380833	201399915	0.0836	0.417	1
ENSG00000282221		chr1	+	201399633	201401190	0.44	0.834	1
ENSG00000266835	GAPLINC	chr18	+	3466250	3487045	-1.21	0.561	1
ENSG00000273542	H4C12	chr6	-	27831174	27831560	0.232	0.0632	1
ENSG00000174307	PHLDA3	chr1	-	201464278	201469237	-0.00398	0.97	1
ENSG00000254468		chr11	-	112967	125927	0.63	0.728	1
ENSG00000290924		chr9	+	85805359	85849728	0.523	0.136	1
ENSG00000197046	SIGLEC15	chr18	+	45825675	45844094	-1.46	0.61	1
ENSG00000167770	OTUB1	chr11	+	63985853	64001811	-0.131	0.0744	1
ENSG00000289642		chr1	+	149013782	149014961	-0.548	0.732	1
ENSG00000261069		chr15	+	25087661	25088896	-0.102	0.179	1
ENSG00000159176	CSRP1	chr1	-	201483530	201509456	0.216	0.00267	0.206
ENSG00000187950	OVCH1	chr12	-	29412474	29497686	0.278	0.806	1
ENSG00000107736	CDH23	chr10	+	71396920	71815947	-0.132	0.727	1
ENSG00000184635	ZNF93	chr19	+	19900913	19963464	0.0943	0.388	1
ENSG00000151914	DST	chr6	-	56457987	56954830	-0.0474	0.552	1
ENSG00000103264	FBXO31	chr16	-	87326987	87392142	-0.17	0.199	1
ENSG00000290842		chr1	-	16467436	16499257	0.907	0.113	1
ENSG00000104415	CCN4	chr8	+	133191039	133231690	0.557	0.297	1
ENSG00000223774		chr1	+	201893842	201899978	-3.04	0.104	1
ENSG00000290660		chr13	-	23939557	23946782	0.252	0.817	1
ENSG00000143669	LYST	chr1	-	235661041	235883724	0.0175	0.853	1
ENSG00000255966	GAPDH-DT	chr12	-	6532290	6533498	-0.00956	0.997	1
ENSG00000136383	ALPK3	chr15	+	84817356	84873479	0.205	0.0258	0.823
ENSG00000163431	LMOD1	chr1	-	201896456	201946548	0.286	0.151	1
ENSG00000237892	KLF7-IT1	chr2	-	207120884	207122044	0.618	0.694	1
ENSG00000134375	TIMM17A	chr1	+	201955503	201970664	-0.0632	0.445	1
ENSG00000204936	CD177	chr19	+	43353686	43363172	0.135	0.475	1
ENSG00000077152	UBE2T	chr1	-	202331544	202341984	0.103	0.607	1
ENSG00000077157	PPP1R12B	chr1	+	202348699	202592706	0.124	0.172	1
ENSG00000172375	C2CD2L	chr11	+	119102198	119118544	-0.103	0.555	1
ENSG00000203943	SAMD13	chr1	+	84298366	84389957	0.616	0.696	1
ENSG00000260021		chr1	-	202810238	202810829	-1.14	0.637	1
ENSG00000228709	LINC02575	chr21	+	44485463	44495519	0.332	0.728	1
ENSG00000291234		chr1	-	202851828	202861755	0.0437	0.848	1
ENSG00000120685	PROSER1	chr13	-	39009865	39038089	-0.12	0.113	1
ENSG00000266498		chr17	-	17235433	17236118	-0.261	0.749	1
ENSG00000284730	TMDD1	chr12	-	51813921	51814925	0.253	0.896	1
ENSG00000143674	MAP3K21	chr1	+	233327724	233385148	-0.0427	0.888	1
ENSG00000140941	MAP1LC3B	chr16	+	87383953	87404779	-0.0997	0.253	1
ENSG00000265246		chr17	-	27237859	27241661	0.104	0.874	1
ENSG00000162613	FUBP1	chr1	-	77944055	77979110	-0.0468	0.48	1
ENSG00000054523	KIF1B	chr1	+	10210570	10381603	-0.0164	0.814	1
ENSG00000163444	TMEM183A	chr1	+	203007374	203024848	-0.0723	0.418	1
ENSG00000233060		chr2	+	70089721	70096100	-2.63	0.468	1
ENSG00000136518	ACTL6A	chr3	+	179562886	179588407	-0.0169	0.895	1
ENSG00000110076	NRXN2	chr11	-	64606174	64723197	-0.0534	0.717	1
ENSG00000256433		chr12	+	6393879	6396148	1.02	0.392	1
ENSG00000165325	DEUP1	chr11	+	93329971	93438487	-0.949	0.535	1
ENSG00000240720	LRRD1	chr7	-	92141643	92179531	1.34	0.423	1
ENSG00000124587	PEX6	chr6	-	42963865	42979181	-0.0666	0.737	1
ENSG00000284713	SMIM38	chr11	+	69155478	69162440	0.205	0.509	1
ENSG00000105255	FSD1	chr19	+	4304598	4323843	0.0289	0.799	1
ENSG00000000457	SCYL3	chr1	-	169849631	169894267	-0.158	0.145	1
ENSG00000129353	SLC44A2	chr19	+	10602457	10644557	0.0294	0.715	1
ENSG00000149177	PTPRJ	chr11	+	47980425	48170839	-0.0143	0.851	1
ENSG00000159388	BTG2	chr1	+	203305491	203309602	-0.167	0.0761	1
ENSG00000160471	COX6B2	chr19	-	55349306	55354719	1.32	0.645	1
ENSG00000155926	SLA	chr8	-	133036728	133102912	0.075	0.876	1
ENSG00000222047	C10orf55	chr10	-	73909969	73922777	-16.8	1.92e-07	
ENSG00000291072		chr1	-	16618253	16644686	-0.0645	0.724	1
ENSG00000142197	DOP1B	chr21	+	36156782	36294274	0.0666	0.365	1
ENSG00000004487	KDM1A	chr1	+	23019443	23083689	0.0316	0.721	1
ENSG00000286383		chr1	+	203996532	204008930	-0.803	0.572	1
ENSG00000222009	BTBD19	chr1	+	44808523	44815585	0.188	0.714	1
ENSG00000204370	SDHD	chr11	+	112086824	112120016	-0.0564	0.573	1
ENSG00000287368		chr9	+	34810020	34895175	0.221	0.925	1
ENSG00000139178	C1RL	chr12	-	7089587	7109238	0.189	0.155	1
ENSG00000271109	LINC03049	chr19	-	34849046	34860747	-0.599	0.65	1
ENSG00000234545	FAM133B	chr7	-	92560758	92590393	0.0574	0.561	1
ENSG00000119977	TCTN3	chr10	-	95659823	95694143	0.0783	0.448	1
ENSG00000118418	HMGN3	chr6	-	79201245	79234689	-0.0546	0.466	1
ENSG00000136153	LMO7	chr13	+	75620434	75859870	-0.19	0.259	1
ENSG00000280924	LINC00628	chr1	-	204368431	204369719	0.0177	0.967	1
ENSG00000110046	ATG2A	chr11	-	64894546	64917209	0.0379	0.7	1
ENSG00000107779	BMPR1A	chr10	+	86756596	86932825	-0.0971	0.311	1
ENSG00000277997		chr2	+	307683	309424	-0.792	0.774	1
ENSG00000181029	TRAPPC5	chr19	+	7680833	7687703	-0.0168	0.905	1
ENSG00000273485		chr10	+	103450196	103450852	-0.027	0.98	1
ENSG00000290537		chr12	-	10588063	10599669	0.0148	0.968	1
ENSG00000179862	CITED4	chr1	-	40861054	40862363	0.145	0.649	1
ENSG00000168594	ADAM29	chr4	+	174829668	174978180	-1.4	0.246	1
ENSG00000047056	WDR37	chr10	+	1049538	1160991	0.0728	0.422	1
ENSG00000081692	JMJD4	chr1	-	227730425	227735411	0.186	0.253	1
ENSG00000228857	ACTR3-AS1	chr2	-	113831049	113891020	0.327	0.746	1
ENSG00000230565	ZNF32-AS2	chr10	+	43645942	43648019	0.144	0.967	
ENSG00000240219		chr1	+	204626775	204629712	0.0567	0.922	1
ENSG00000100351	GRAP2	chr22	+	39901084	39973721	-0.343	0.728	1
ENSG00000237352	LINC01358	chr1	+	58933643	59240555	-1.47	0.674	1
ENSG00000184492	FOXD4L1	chr2	+	113498665	113501150	2.92	0.206	1
ENSG00000162772	ATF3	chr1	+	212565334	212620777	-0.0546	0.618	1
ENSG00000267198		chr17	+	45545804	45563230	-0.295	0.87	1
ENSG00000255389		chr6	+	111599875	111602295	-0.161	0.839	1
ENSG00000134198	TSPAN2	chr1	-	115048011	115089503	0.325	0.316	1
ENSG00000175782	SLC35E3	chr12	+	68746125	68793964	0.221	0.0252	0.813
ENSG00000287312		chr11	+	3511559	3520886	-0.282	0.876	1
ENSG00000117569	PTBP2	chr1	+	96721665	96823738	0.249	0.074	1
ENSG00000198691	ABCA4	chr1	-	93992834	94121148	0.308	0.221	1
ENSG00000117222	RBBP5	chr1	-	205086142	205122015	0.00815	0.936	1
ENSG00000118946	PCDH17	chr13	+	57631744	57729311	0.00708	0.989	1
ENSG00000266495		chr18	-	23257164	23260354	-1.26	0.688	1
ENSG00000166845	C18orf54	chr18	+	54357906	54385218	0.176	0.243	1
ENSG00000232110		chr10	+	89283636	89292125	-16.6	1.36e-08	
ENSG00000155545	MIER3	chr5	-	56919602	56971675	-0.0622	0.498	1
ENSG00000270006	C16orf95-DT	chr16	+	87317487	87318043	-1.4	0.364	1
ENSG00000130643	CALY	chr10	-	133324072	133336935	-1.26	0.682	
ENSG00000290937		chr3	+	198153287	198222513	-0.0669	0.695	1
ENSG00000214842	RAD51AP2	chr2	-	17510579	17518440	-0.709	0.629	1
ENSG00000133069	TMCC2	chr1	+	205227946	205285632	-0.77	0.355	1
ENSG00000129235	TXNDC17	chr17	+	6640985	6644541	0.0427	0.785	1
ENSG00000083520	DIS3	chr13	-	72752169	72782096	-0.0367	0.633	1
ENSG00000163545	NUAK2	chr1	-	205302063	205321745	-0.162	0.245	1
ENSG00000254860	TMEM9B-AS1	chr11	+	8964502	8977527	0.512	0.248	1
ENSG00000138071	ACTR2	chr2	+	65227788	65271253	0.03	0.747	1
ENSG00000271833		chr9	+	127366770	127367397	-0.0191	0.994	1
ENSG00000270362	HMGN3-AS1	chr6	+	79233699	79236797	-0.209	0.414	1
ENSG00000257761		chr12	-	71587642	71594404	-1.02	0.334	1
ENSG00000177752	YIPF7	chr4	-	44622088	44678556	0.97	0.658	1
ENSG00000137692	DCUN1D5	chr11	-	103050686	103092194	-0.0295	0.763	1
ENSG00000175029	CTBP2	chr10	-	124984317	125161170	0.0444	0.66	1
ENSG00000233340		chr10	-	112671812	112677819	0.465	0.698	1
ENSG00000117266	CDK18	chr1	+	205504596	205532793	0.107	0.477	1
ENSG00000136152	COG3	chr13	+	45464898	45536701	0.0358	0.599	1
ENSG00000111615	KRR1	chr12	-	75490863	75511636	-0.0709	0.373	1
ENSG00000132478	UNK	chr17	+	75784806	75825799	-0.00331	0.976	1
ENSG00000158711	ELK4	chr1	-	205597556	205632011	-0.0442	0.613	1
ENSG00000158715	SLC45A3	chr1	-	205657851	205680509	-0.736	0.315	1
ENSG00000076641	PAG1	chr8	-	80967810	81112068	-0.341	0.00397	0.281
ENSG00000107614	TRDMT1	chr10	-	17137336	17202054	0.371	0.219	1
ENSG00000181827	RFX7	chr15	-	56087280	56245082	-0.0645	0.575	1
ENSG00000182771	GRID1	chr10	-	85599552	86366795	0.237	0.877	1
ENSG00000240731		chr1	-	1317581	1318689	0.173	0.776	1
ENSG00000244038	DDOST	chr1	-	20651767	20661544	-0.0168	0.8	1
ENSG00000117280	RAB29	chr1	-	205767986	205775482	0.0511	0.823	1
ENSG00000078142	PIK3C3	chr18	+	41955234	42087830	0.0774	0.353	1
ENSG00000187109	NAP1L1	chr12	-	76036585	76084735	-0.0144	0.798	1
ENSG00000196557	CACNA1H	chr16	+	1153106	1221771	0.224	0.382	1
ENSG00000162877	PM20D1	chr1	-	205828025	205850132	-0.161	0.924	1
ENSG00000165556	CDX2	chr13	-	27960918	27969315	-0.617	0.198	1
ENSG00000289625	IUR1	chr11	-	73157173	73182911	-1.63	0.486	1
ENSG00000165525	NEMF	chr14	-	49782083	49852821	0.0928	0.199	1
ENSG00000263528	IKBKE	chr1	+	206470476	206496889	-0.0524	0.919	1
ENSG00000259521	INO80-AS1	chr15	+	41016807	41027893	0.637	0.563	1
ENSG00000151650	VENTX	chr10	+	133237855	133241928	-0.174	0.779	1
ENSG00000266094	RASSF5	chr1	+	206507531	206589448	-0.719	0.337	1
ENSG00000197272	IL27	chr16	-	28499362	28512051	-0.276	0.567	1
ENSG00000137996	RTCA	chr1	+	100266216	100292769	0.0708	0.561	1
ENSG00000148450	MSRB2	chr10	+	23095579	23122013	-0.0233	0.923	1
ENSG00000279066	HEXD-IT1	chr17	+	82425498	82427310	0.903	0.474	1
ENSG00000259488	DUT-AS1	chr15	-	48312353	48331856	-0.0677	0.914	1
ENSG00000080709	KCNN2	chr5	+	114055926	114496500	0.402	0.548	1
ENSG00000162889	MAPKAPK2	chr1	+	206684905	206734281	-0.0415	0.621	1
ENSG00000112851	ERBIN	chr5	+	65883128	66082546	-0.0933	0.268	1
ENSG00000260173		chr15	-	72140504	72155459	0.377	0.893	1
ENSG00000079841	RIMS1	chr6	+	71886550	72403150	-1.77	0.131	1
ENSG00000152270	PDE3B	chr11	+	14643804	14872044	-0.0244	0.87	1
ENSG00000004534	RBM6	chr3	+	49940007	50100045	0.0229	0.787	1
ENSG00000274220		chr16	+	75433836	75436392	0.28	0.755	1
ENSG00000092345	DAZL	chr3	-	16586792	16670306	-0.333	0.272	1
ENSG00000184923	NUTM2A	chr10	+	87225448	87236908	0.0612	0.958	1
ENSG00000259598		chr15	+	38524070	38534655	1.66	0.511	1
ENSG00000229666	MAST4-AS1	chr5	-	67001383	67004080	0.119	0.798	1
ENSG00000215182	MUC5AC	chr11	+	1157953	1201138	-0.0713	0.979	
ENSG00000188747	NOXA1	chr9	+	137423350	137434406	1.11	0.311	1
ENSG00000176399	DMRTA1	chr9	+	22446824	22455740	-0.199	0.687	1
ENSG00000179271	GADD45GIP1	chr19	-	12953119	12957223	0.0903	0.476	1
ENSG00000169174	PCSK9	chr1	+	55039447	55064852	1.04	0.251	1
ENSG00000196778	OR52K1	chr11	+	4482646	4493497	-0.0465	0.946	1
ENSG00000140506	LMAN1L	chr15	+	74812716	74825757	0.346	0.835	1
ENSG00000140022	STON2	chr14	-	81260652	81436465	0.0273	0.709	1
ENSG00000123843	C4BPB	chr1	+	207088860	207099993	-0.322	0.707	1
ENSG00000236782	ZNF593OS	chr1	-	26169516	26171832	-1.3	0.654	1
ENSG00000213341	CHUK	chr10	-	100188300	100229596	-0.121	0.145	1
ENSG00000119408	NEK6	chr9	+	124257606	124353307	0.106	0.219	1
ENSG00000277873		chr12	-	118024817	118025518	0.0497	0.965	1
ENSG00000074276	CDHR2	chr5	+	176542511	176595974	3.12	0.176	1
ENSG00000288892		chr5	-	141039993	141040905	-0.225	0.956	
ENSG00000269176		chr11	-	62786023	62786785	0.099	0.871	1
ENSG00000175137	SH3BP5L	chr1	-	248810446	248825915	-0.0347	0.772	1
ENSG00000111057	KRT18	chr12	+	52948871	52952906	0.00846	0.934	1
ENSG00000289885		chr3	+	153161419	153162036	-1.12	0.682	1
ENSG00000178295	GEN1	chr2	+	17753858	17788946	0.12	0.339	1
ENSG00000273448		chr7	+	67333047	67334383	-0.296	0.399	1
ENSG00000289943		chr2	-	63839866	63840824	-0.0571	0.945	1
ENSG00000229404	LINC00858	chr10	+	84267747	84294659	-0.28	0.846	1
ENSG00000174059	CD34	chr1	-	207880972	207911402	-0.0206	0.978	1
ENSG00000139648	KRT71	chr12	-	52543909	52553145	-0.559	0.777	1
ENSG00000135473	PAN2	chr12	-	56316223	56334053	0.0336	0.805	1
ENSG00000141753	IGFBP4	chr17	+	40443450	40457725	0.122	0.314	1
ENSG00000130349	MTRES1	chr6	+	107028199	107051586	0.263	0.216	1
ENSG00000234311	LINC03068	chr10	-	132433733	132441484	0.693	0.789	1
ENSG00000162623	TYW3	chr1	+	74733152	74766678	-0.0771	0.6	1
ENSG00000108242	CYP2C18	chr10	+	94683729	94736190	-0.152	0.09	1
ENSG00000117594	HSD11B1	chr1	+	209686178	209734949	-0.231	0.94	1
ENSG00000134061	CD180	chr5	-	67179613	67196799	-2.5	0.416	
ENSG00000230876	LINC00486	chr2	+	32825359	32926693	0.533	0.77	1
ENSG00000233332		chr1	-	234212606	234215088	-14.8	2.22e-05	
ENSG00000100503	NIN	chr14	-	50719763	50831162	0.0627	0.568	1
ENSG00000117597	UTP25	chr1	+	209827972	209857565	-0.0603	0.597	1
ENSG00000177853	ZNF518A	chr10	+	96129715	96205288	0.145	0.09	1
ENSG00000138756	BMP2K	chr4	+	78776342	78916365	0.0703	0.616	1
ENSG00000233922	LINC01694	chr21	+	45590771	45603088	0.0811	0.968	1
ENSG00000123892	RAB38	chr11	-	88113251	88175443	-0.0708	0.593	1
ENSG00000143473	KCNH1	chr1	-	210676823	211134165	0.277	0.87	1
ENSG00000250891	LINC02208	chr5	-	118000253	118562199	2.59	0.335	1
ENSG00000197444	OGDHL	chr10	-	49734641	49762379	0.0841	0.88	1
ENSG00000153363	LINC00467	chr1	+	211382736	211435570	0.177	0.652	1
ENSG00000204070	SYS1	chr20	+	45361937	45376798	0.0349	0.76	1
ENSG00000136098	NEK3	chr13	-	52132639	52159597	-0.232	0.349	1
ENSG00000170846		chr4	+	6663396	6676755	0.176	0.249	1
ENSG00000112242	E2F3	chr6	+	20401879	20493714	0.0127	0.928	1
ENSG00000288935		chr16	-	4307200	4307624	1.97	0.0165	0.668
ENSG00000118137	APOA1	chr11	-	116835751	116837622	-0.607	0.138	1
ENSG00000109171	SLAIN2	chr4	+	48341529	48426201	-0.138	0.0712	1
ENSG00000255837	TAS2R20	chr12	-	10995961	10998304	0.342	0.31	1
ENSG00000183709	IFNL2	chr19	+	39268396	39270188	-0.489	0.831	1
ENSG00000221953	LINC02897	chr1	-	247110160	247112417	0.719	0.384	1
ENSG00000181722	ZBTB20	chr3	-	114314500	115147292	0.31	0.241	1
ENSG00000100304	TTLL12	chr22	-	43166622	43187134	0.00533	0.953	1
ENSG00000229224		chr2	-	29088649	29097586	-2.6	0.471	1
ENSG00000257526		chr12	+	76559870	76615567	0.00941	0.995	1
ENSG00000288738		chr1	-	211605839	211606579	-1.14	0.728	1
ENSG00000111224	PARP11	chr12	-	3791047	3873448	-0.00803	0.966	1
ENSG00000120948	TARDBP	chr1	+	11012344	11030528	-0.0288	0.644	1
ENSG00000156873	PHKG2	chr16	+	30748293	30761176	-0.169	0.0404	0.989
ENSG00000183160	TMEM119	chr12	-	108589851	108598320	-0.00739	0.987	1
ENSG00000149577	SIDT2	chr11	+	117178736	117197445	0.00885	0.91	1
ENSG00000234431		chr2	+	201166965	201167546	-1.33	0.664	1
ENSG00000243819	RN7SL832P	chr2	+	10690344	10692099	0.596	0.436	1
ENSG00000198912	C1orf174	chr1	-	3889125	3900293	-0.0575	0.611	1
ENSG00000276644	DACH1	chr13	-	71437966	71867204	0.655	0.58	1
ENSG00000231365	WARS2-AS1	chr1	+	119140391	119275973	0.314	0.0677	1
ENSG00000287698		chr12	+	1800862	1807486	-0.722	0.835	1
ENSG00000277463		chr17	+	62626031	62626453	-2.32	0.336	1
ENSG00000188508	KRTDAP	chr19	-	35487324	35495558	-1.99	0.359	1
ENSG00000289457		chr1	+	150561466	150562287	1.18	0.212	1
ENSG00000123684	LPGAT1	chr1	-	211743457	211830763	-0.0851	0.601	1
ENSG00000197635	DPP4	chr2	-	161992245	162074394	-0.0724	0.454	1
ENSG00000143858	SYT2	chr1	-	202590596	202710454	0.196	0.811	1
ENSG00000117791	MTARC2	chr1	+	220748225	220784815	-0.152	0.355	1
ENSG00000226251	LINC02608	chr1	-	212180141	212285130	-0.589	0.686	1
ENSG00000134901	POGLUT2	chr13	-	102784281	102799040	-0.109	0.365	1
ENSG00000186510	CLCNKA	chr1	+	16018875	16034050	-0.49	0.66	1
ENSG00000134569	LRP4	chr11	-	46856717	46918642	0.283	0.107	1
ENSG00000168350	DEGS2	chr14	-	100143957	100159645	0.0574	0.763	1
ENSG00000049283	EPN3	chr17	+	50532682	50543750	-0.0169	0.92	1
ENSG00000272695	GAS6-DT	chr13	+	113864112	113866834	-0.187	0.785	1
ENSG00000065600	PACC1	chr1	-	212363928	212414901	0.0762	0.561	1
ENSG00000196209	SIRPB2	chr20	-	1470741	1491587	3	0.144	1
ENSG00000287445		chr1	-	212430269	212432775	-0.828	0.59	1
ENSG00000275004	ZNF280B	chr22	-	22484421	22508742	1.41	0.473	1
ENSG00000185352	HS6ST3	chr13	+	96090107	96839562	-0.479	0.253	1
ENSG00000288007		chr1	+	212559363	212561399	-0.125	0.874	1
ENSG00000272472		chr6	+	122643388	122644771	0.444	0.106	1
ENSG00000184697	CLDN6	chr16	-	3014712	3020071	-0.0327	0.601	1
ENSG00000272672		chr1	+	89939601	89940147	0.177	0.841	1
ENSG00000162771	GARIN4	chr1	+	212624474	212626775	0.379	0.484	1
ENSG00000123685	BATF3	chr1	-	212686417	212699840	-0.0833	0.939	1
ENSG00000175221	MED16	chr19	-	867630	893218	-0.0792	0.431	1
ENSG00000174156	GSTA3	chr6	-	52896639	52909698	-0.261	0.345	1
ENSG00000163362	INAVA	chr1	+	200891048	200915742	0.0829	0.372	1
ENSG00000160075	SSU72	chr1	-	1541673	1574863	-0.0802	0.305	1
ENSG00000177459	ERICH5	chr8	+	98064522	98093610	0.0381	0.897	1
ENSG00000153208	MERTK	chr2	+	111898607	112029561	-0.0512	0.611	1
ENSG00000205352	PRR13	chr12	+	53441678	53446645	-0.0325	0.676	1
ENSG00000290728		chr16	-	2616121	2643296	0.545	0.0986	1
ENSG00000143494	VASH2	chr1	+	212950520	212992037	0.195	0.523	1
ENSG00000272918		chr7	-	105102838	105105483	1.18	0.0464	1
ENSG00000244300	GATA2-AS1	chr3	+	128489212	128502970	-0.121	0.289	1
ENSG00000227477	STK4-DT	chr20	-	44963794	44966959	0.0922	0.968	1
ENSG00000137501	SYTL2	chr11	-	85694224	85811159	0.432	0.106	1
ENSG00000060339	CCAR1	chr10	+	68721012	68792377	-0.0191	0.789	1
ENSG00000170684	ZNF296	chr19	-	45071500	45076478	0.488	0.231	1
ENSG00000103942	HOMER2	chr15	-	82836946	82986153	0.467	0.307	1
ENSG00000174606	ANGEL2	chr1	-	212992182	213015867	0.14	0.385	1
