gene_ID	hgnc_symbol	chr	strand	start	end	POU2F3_CE_log2FoldChange	POU2F3_CE_pvalue	POU2F3_CE_padj	POU2F3_KO_log2FoldChange	POU2F3_KO_pvalue	POU2F3_KO_padj	POU2F3_PTC_log2FoldChange	POU2F3_PTC_pvalue	POU2F3_PTC_padj
ENSG00000186453	FAM228A	chr2	+	24175053	24200849	-0.4	0.929		0.976	0.821		-1.14	0.789	
ENSG00000174840	PDE12	chr3	+	57556274	57566848	0.218	0.326	0.49	0.0968	0.656	0.778	0.0554	0.792	0.917
ENSG00000143878	RHOB	chr2	+	20447074	20449440	-0.22	0.0318	0.0979	-0.316	0.00164	0.0356	-0.311	0.00138	0.153
ENSG00000286134		chr5	-	24135160	24271863	0.31	0.402	0.564	0.508	0.158	0.311	0.157	0.655	0.856
ENSG00000286189		chr4	+	84970180	84970730	-0.205	0.945		-0.183	0.95		2.31	0.398	
ENSG00000198793	MTOR	chr1	-	11106535	11262556	-0.0744	0.524	0.672	-0.0637	0.578	0.718	-0.0094	0.932	0.975
ENSG00000197933	ZNF823	chr19	-	11721265	11739009	-0.321	0.0286	0.0913	-0.325	0.0237	0.102	-0.241	0.0831	0.362
ENSG00000120334	CENPL	chr1	-	173799550	173824883	0.301	0.078	0.182	0.105	0.534	0.684	-0.089	0.591	0.822
ENSG00000288837		chr19	-	19105160	19105729	-2.74	0.102		-1.86	0.227		-2.72	0.0892	
ENSG00000164855	TMEM184A	chr7	-	1542235	1560821	-0.259	0.198	0.35	-0.241	0.222	0.386	-0.176	0.359	0.668
ENSG00000131591	C1orf159	chr1	-	1081818	1116361	0.0318	0.831	0.896	0.186	0.2	0.361	0.111	0.431	0.72
ENSG00000231028	AHI1-DT	chr6	+	135497422	135828703	0.163	0.815	0.886	0.453	0.5		-0.3	0.665	0.861
ENSG00000261340	LINC01616	chr11	-	29980113	29982392	-0.649	0.662		-0.658	0.65		0.393	0.762	
ENSG00000204272	NBDY	chrX	+	56729241	56819179	0.0762	0.425	0.585	0.0577	0.539	0.688	-0.11	0.233	0.554
ENSG00000232139	LINC00867	chr10	+	118341437	118398468	2.62	0.312		2.03	0.433		1.03	0.69	
ENSG00000253348		chr5	-	170747047	170788650	0.0354	0.944	0.967	0.684	0.148	0.298	0.124	0.798	0.919
ENSG00000282572	FAM157D	chr7	-	19018	35497	-0.366	0.437	0.597	-0.522	0.262	0.432	-0.0951	0.829	0.933
ENSG00000187889	FYB2	chr1	-	56718789	56819696	1.99	0.108		1.3	0.299		-1.43	0.374	
ENSG00000115221	ITGB6	chr2	-	160099667	160200313	1.67	4.01e-05	0.00367	0.921	0.0207	0.0946	0.488	0.207	0.527
ENSG00000173267	SNCG	chr10	+	86958599	86963258	1.7	0.35		0.74	0.701		0.784	0.679	
ENSG00000166341	DCHS1	chr11	-	6621330	6655809	0.618	0.014	0.0564	0.427	0.0864	0.212	0.0959	0.698	0.876
ENSG00000139675	HNRNPA1L2	chr13	+	52642431	52643773	0.73	0.00441	0.028	0.404	0.117	0.257	0.209	0.416	0.709
ENSG00000290921		chr10	-	45854093	45972428	-0.028	0.908	0.945	0.269	0.253	0.422	0.0487	0.832	0.934
ENSG00000268670		chr19	-	4061615	4062749	0.144	0.752	0.844	0.651	0.132	0.278	0.362	0.395	0.695
ENSG00000025770	NCAPH2	chr22	+	50508224	50524780	-0.0707	0.532	0.678	-0.14	0.208	0.37	-0.0951	0.379	0.684
ENSG00000143412	ANXA9	chr1	+	150982249	150995634	-0.124	0.493	0.646	0.22	0.21	0.372	0.24	0.16	0.476
ENSG00000247157	LINC01252	chr12	+	11548030	11590369	0.00165	0.998	0.999	-0.151	0.819		-0.676	0.309	0.627
ENSG00000261437	LINC02894	chr8	-	94637285	94639467	0.104	0.82	0.889	0.796	0.0649	0.178	0.527	0.222	0.542
ENSG00000162438	CTRC	chr1	+	15438442	15449242	-3.88	0.0271		-1.43	0.343		-0.677	0.617	0.836
ENSG00000165891	E2F7	chr12	-	77021248	77065569	0.675	0.00333	0.0238	0.463	0.0404	0.135	0.388	0.0769	0.352
ENSG00000289110		chr17	-	37488455	37489688	4.09	0.00359		3.94	0.00499		4.29	0.00185	
ENSG00000135679	MDM2	chr12	+	68808177	68845544	0.0459	0.641	0.764	0.00243	0.98	0.989	0.0508	0.586	0.819
ENSG00000108352	RAPGEFL1	chr17	+	40177010	40195656	-0.493	0.0453	0.124	0.0627	0.791	0.872	0.0257	0.911	0.968
ENSG00000197037	ZSCAN25	chr7	+	99616946	99632408	0.229	0.0625	0.156	0.114	0.346	0.518	0.112	0.342	0.654
ENSG00000259426	KIF23-AS1	chr15	-	69396904	69415029	1.24	0.0462	0.126	1.11	0.0703	0.186	0.695	0.25	0.571
ENSG00000163092	XIRP2	chr2	+	166888480	167259753	-0.848	0.268	0.431	-0.436	0.552		-0.182	0.795	0.918
ENSG00000250365	HEATR5A-DT	chr14	+	31420286	31452883	1.26	0.338		-0.188	0.894		0.48	0.713	0.883
ENSG00000186230	ZNF749	chr19	+	57435325	57447101	-0.185	0.252	0.413	-0.0449	0.776	0.862	0.0191	0.901	0.964
ENSG00000242950	ERVW-1	chr7	-	92468380	92477986	-0.698	0.00808	0.0401	-0.503	0.0511	0.154	-0.361	0.148	0.461
ENSG00000196177	ACADSB	chr10	+	123008979	123058290	0.321	0.0386	0.112	0.234	0.129	0.273	0.339	0.023	0.247
ENSG00000235888	LINC02940	chr21	-	38988569	39062894	0.335	0.631	0.757	1.51	0.019	0.0909	1.35	0.0318	0.27
ENSG00000117523	PRRC2C	chr1	+	171485530	171593511	-0.566	0.000741	0.0119	-0.464	0.00466	0.0506	-0.302	0.0571	0.318
ENSG00000107175	CREB3	chr9	+	35732598	35736999	0.165	0.18	0.328	0.0899	0.458	0.62	0.0424	0.719	0.886
ENSG00000229191		chr1	+	201023949	201028792	0.7	0.711		2.19	0.194		4.07	0.00594	
ENSG00000132692	BCAN	chr1	+	156641390	156659532	2.66	0.424		-0.372	0.913		-0.19	0.954	
ENSG00000173947	PIFO	chr1	+	111346600	111353013	0.681	0.0712	0.17	0.198	0.601	0.736	0.116	0.754	0.9
ENSG00000286577		chr5	+	94111720	94176029	-0.597	0.725		1.26	0.386		1.67	0.234	
ENSG00000115107	STEAP3	chr2	+	119223831	119265652	0.645	0.0478	0.129	0.479	0.134	0.28	0.48	0.12	0.421
ENSG00000165462	PHOX2A	chr11	-	72239077	72245664	2	0.25		3.55	0.0187		3.9	0.00736	
ENSG00000007264	MATK	chr19	-	3777970	3802129	-0.616	0.198	0.35	-0.723	0.124	0.267	-0.565	0.213	0.532
ENSG00000113282	CLINT1	chr5	-	157785743	157859145	-0.241	0.00734	0.0377	-0.267	0.00241	0.041	-0.167	0.0502	0.303
ENSG00000137100	DCTN3	chr9	-	34613545	34620523	0.28	0.0396	0.113	0.177	0.189	0.348	0.119	0.369	0.675
ENSG00000196684	HSH2D	chr19	+	16134028	16158575	-1.53	0.0205	0.0725	-1.25	0.0513	0.154	-1.17	0.0593	0.322
ENSG00000225830	ERCC6	chr10	-	49454168	49539538	0.489	0.00401	0.0266	0.267	0.109	0.247	0.223	0.168	0.486
ENSG00000184588	PDE4B	chr1	+	65792514	66374579	-0.896	0.0454	0.125	-0.602	0.165	0.319	-1.09	0.0141	0.22
ENSG00000260468	LINC01290	chr16	-	10514842	10528202	3.58	0.0623		-0.218	0.92		4.21	0.0197	
ENSG00000076685	NT5C2	chr10	-	103087185	103277605	0.187	0.155	0.295	0.101	0.432	0.597	0.00124	0.992	0.997
ENSG00000272056		chr2	-	27053618	27054276	-0.905	0.359		0.322	0.715		-2.53	0.0487	0.3
ENSG00000189280	GJB5	chr1	+	34755047	34758512	-0.65	0.884		-0.721	0.869		1.74	0.675	
ENSG00000247363	NUP107-DT	chr12	-	68674371	68687755	-2.17	0.19		0.32	0.806		-0.199	0.884	0.957
ENSG00000131089	ARHGEF9	chrX	-	63634967	63809274	0.513	0.00131	0.0153	0.276	0.0827	0.207	0.331	0.0321	0.27
ENSG00000067064	IDI1	chr10	-	1039152	1049119	-0.445	0.00208	0.0189	-0.462	0.00109	0.0316	-0.392	0.00422	0.187
ENSG00000143627	PKLR	chr1	-	155289293	155301438	-2.71	0.242		-1.78	0.431		-1.81	0.408	
ENSG00000291175		chr17	-	45506741	45584705	0.492	0.157	0.297	0.775	0.022	0.0978	0.653	0.0505	0.303
ENSG00000182712	CMC4	chrX	-	155061622	155071136	0.152	0.475	0.63	0.314	0.132	0.278	0.127	0.538	0.789
ENSG00000110711	AIP	chr11	+	67468174	67491154	-0.222	0.11	0.232	-0.206	0.132	0.278	-0.156	0.24	0.559
ENSG00000249471	ZNF324B	chr19	+	58451611	58457833	0.544	0.0124	0.0522	0.467	0.0299	0.115	0.343	0.105	0.399
ENSG00000167550	RHEBL1	chr12	-	49064676	49070025	-1.27	0.107	0.227	-1.24	0.11		-1.24	0.104	0.397
ENSG00000081019	RSBN1	chr1	-	113761832	113812476	0.426	0.00118	0.0146	0.339	0.00888	0.0642	0.256	0.0439	0.293
ENSG00000140854	KATNB1	chr16	+	57735739	57757244	0.0581	0.81	0.882	0.0816	0.731	0.831	-0.0325	0.888	0.959
ENSG00000263513	FAM72C	chr1	-	143955287	143971986	0.686	0.291	0.454	0.574	0.371	0.542	0.368	0.559	0.803
ENSG00000229348	HYI-AS1	chr1	+	43453927	43456995	-1.38	0.521		-2.45	0.244		0.0274	0.988	
ENSG00000227896	WAPL-DT	chr10	+	86521945	86525101	0.0946	0.774	0.859	-0.265	0.432	0.597	-0.0724	0.823	0.931
ENSG00000067445	TRO	chrX	+	54920462	54931431	-0.0838	0.646	0.768	0.0458	0.798	0.877	-0.079	0.65	0.854
ENSG00000230731	LINC02938	chr13	-	44234118	44256596	1.06	0.515		-1.52	0.421		-0.734	0.668	
ENSG00000257702	LBX2-AS1	chr2	+	74502552	74505091	0.0246	0.952	0.972	0.0316	0.937	0.965	0.105	0.787	0.915
ENSG00000172785	ZNG1A	chr9	-	120837	179147	-0.0204	0.88	0.927	0.0466	0.726	0.827	0.0144	0.911	0.968
ENSG00000143418	CERS2	chr1	-	150960583	150975003	0.0831	0.232	0.39	-0.00079	0.991	0.995	-0.0277	0.677	0.867
ENSG00000184956	MUC6	chr11	-	1012823	1036718	-1.98	0.118		-0.617	0.561		-0.204	0.837	0.936
ENSG00000122482	ZNF644	chr1	-	90915298	91022272	0.459	0.000164	0.00635	0.239	0.0459	0.145	0.333	0.00415	0.187
ENSG00000060656	PTPRU	chr1	+	29236516	29326813	0.00486	0.97	0.983	-0.0345	0.788	0.87	-0.0707	0.57	0.809
ENSG00000156802	ATAD2	chr8	-	123319850	123416350	0.23	0.0294	0.0928	0.0986	0.341	0.513	0.136	0.178	0.496
ENSG00000058453	CROCC	chr1	+	16740273	16972964	0.435	0.0815	0.187	0.537	0.0282	0.111	0.109	0.651	0.854
ENSG00000287015		chr1	+	90045998	90047109	-0.657	0.886		0.257	0.954		-2.01	0.645	
ENSG00000138738	PRDM5	chr4	-	120684919	120922870	0.363	0.0123	0.0518	0.347	0.0148	0.081	0.26	0.0624	0.328
ENSG00000167553	TUBA1C	chr12	+	49188736	49274600	0.362	0.0128	0.0533	0.211	0.14	0.288	0.118	0.393	0.694
ENSG00000237424	FOXD2-AS1	chr1	-	47432133	47434641	0.69	0.616		2.43	0.0525		0.761	0.579	
ENSG00000254682		chr11	+	71448562	71452157	-0.651	0.0618	0.155	-0.369	0.277	0.447	-0.595	0.0733	0.346
ENSG00000274895		chr1	-	213983793	213986419	-0.164	0.97		2.2	0.605		0.888	0.832	
ENSG00000167565	SERTAD3	chr19	-	40440844	40444335	-0.0763	0.534	0.68	-0.0825	0.494	0.651	-0.103	0.379	0.684
ENSG00000204779	FOXD4L5	chr9	-	65282101	65285209	0.984	0.445		0.442	0.738		0.0137	0.992	
ENSG00000142945	KIF2C	chr1	+	44739818	44767767	0.182	0.162	0.304	0.115	0.368	0.539	0.105	0.399	0.698
ENSG00000156384	SFR1	chr10	+	104122058	104126385	0.498	0.039	0.112	0.289	0.232	0.399	0.254	0.29	0.611
ENSG00000105278	ZFR2	chr19	-	3804024	3869038	0.067	0.92	0.953	-0.36	0.597		-0.00918	0.988	0.996
ENSG00000275180		chr12	+	62603366	62604408	-0.491	0.21	0.364	-0.301	0.43	0.596	0.256	0.478	0.752
ENSG00000260578		chr18	-	67481791	67484966	-0.35	0.178	0.326	-0.22	0.387	0.557	0.186	0.44	0.726
ENSG00000158747	NBL1	chr1	+	19596979	19658456	0.0518	0.856	0.912	0.196	0.483	0.642	-0.126	0.651	0.854
ENSG00000106066	CPVL	chr7	-	28995235	29195451	0.0362	0.67	0.785	-0.0963	0.25	0.419	-0.0119	0.884	0.957
ENSG00000241525		chr17	-	404468	414023	2.32	0.458		-1.14	0.724		-0.0873	0.978	
ENSG00000158246	TENT5B	chr1	-	27005020	27012850	-0.307	0.00934	0.0439	-0.219	0.0586	0.167	-0.303	0.00741	0.2
ENSG00000018625	ATP1A2	chr1	+	160115759	160143591	-2.64	0.541		-2.57	0.543		-1.41	0.73	
ENSG00000214029	ZNF891	chr12	-	133104779	133130274	0.191	0.277	0.44	0.0821	0.635	0.761	0.168	0.315	0.632
ENSG00000139618	BRCA2	chr13	+	32315086	32400268	0.543	0.00211	0.0191	0.348	0.0449	0.143	0.307	0.0677	0.338
ENSG00000258137	GPR84-AS1	chr12	+	54353661	54497688	-0.385	0.904		-0.33	0.916		-0.168	0.956	
ENSG00000120471	TP53AIP1	chr11	-	128934731	128943399	-0.239	0.674	0.787	-0.489	0.387		-0.251	0.641	0.849
ENSG00000189057	FAM111B	chr11	+	59107185	59127412	0.904	0.00587	0.033	0.571	0.0766	0.197	0.692	0.0267	0.257
ENSG00000226758	DISC1-IT1	chr1	+	231925834	231945233	1.69	0.65		0.176	0.962		-0.864	0.811	
ENSG00000086598	TMED2	chr12	+	123584533	123598582	-0.158	0.0277	0.0892	-0.17	0.0158	0.0836	-0.191	0.00522	0.193
ENSG00000110651	CD81	chr11	+	2376177	2397802	-0.124	0.151	0.29	-0.0897	0.29	0.46	-0.17	0.0384	0.282
ENSG00000121749	TBC1D15	chr12	+	71839707	71927248	-0.667	0.00513	0.0305	-0.6	0.0102	0.0682	-0.397	0.0788	0.355
ENSG00000223571	DHRSX-IT1	chrX	-	2334295	2336410	1.39	0.321		2.91	0.0255		1.9	0.152	
ENSG00000079974	RABL2B	chr22	-	50767501	50783667	0.24	0.0992	0.216	0.285	0.0462	0.145	0.201	0.152	0.466
ENSG00000133115	STOML3	chr13	-	38965925	38990859	-0.276	0.61	0.741	0.128	0.806	0.882	0.0351	0.946	0.979
ENSG00000113387	SUB1	chr5	+	32531633	32604079	0.0804	0.415	0.577	-0.0447	0.644	0.769	0.024	0.798	0.92
ENSG00000077514	POLD3	chr11	+	74493851	74669117	0.0263	0.787	0.868	0.0376	0.695	0.806	0.0926	0.321	0.638
ENSG00000233695	GAS6-AS1	chr13	+	113815630	113845744	0.128	0.82	0.889	0.684	0.198		-0.325	0.576	0.812
ENSG00000238107	LINC02806	chr1	+	148295180	148297556	-2.93	0.0302		-0.481	0.618		-0.339	0.711	0.881
ENSG00000178385	PLEKHM3	chr2	-	207821288	208025527	0.0424	0.631	0.756	0.047	0.589	0.727	-0.0487	0.568	0.808
ENSG00000154473	BUB3	chr10	+	123154402	123170467	0.131	0.192	0.342	0.0625	0.525	0.676	0.134	0.16	0.476
ENSG00000162631	NTNG1	chr1	+	107140007	107484923	4.4	0.00108	0.0142	3.76	0.00555		3.99	0.00284	0.173
ENSG00000160877	NACC1	chr19	+	13116862	13141147	-0.278	0.00646	0.0348	-0.261	0.00908	0.0651	-0.215	0.0263	0.256
ENSG00000287887		chr13	+	24747658	24755201	-0.141	0.975		-0.13	0.976		-0.0633	0.988	
ENSG00000104205	SGK3	chr8	+	66712734	66862022	0.0226	0.878	0.926	0.134	0.356	0.527	-0.0903	0.529	0.784
ENSG00000235919	ASH1L-AS1	chr1	+	155562026	155563944	0.0954	0.735	0.832	0.00167	0.995	0.997	0.295	0.271	0.592
ENSG00000256751	PLBD1-AS1	chr12	+	14567393	14624191	2.19	0.0138	0.056	1.82	0.0411		1.76	0.0447	0.293
ENSG00000258744		chr14	+	24443010	24508688	-0.0312	0.939	0.964	0.177	0.656	0.778	0.189	0.629	0.843
ENSG00000238184	CD81-AS1	chr11	-	2328749	2377992	-0.412	0.786		0.808	0.554		-0.139	0.925	
ENSG00000058866	DGKG	chr3	-	186105668	186362234	-1.5	0.682		0.14	0.968		-0.509	0.883	
ENSG00000100558	PLEK2	chr14	-	67386984	67412167	0.622	0.0273	0.0882	0.145	0.606	0.74	0.333	0.22	0.541
ENSG00000271989		chr1	-	10429881	10430677	2.02	0.398		2.82	0.218		2.77	0.214	
ENSG00000188021	UBQLN2	chrX	+	56563627	56567868	0.122	0.185	0.334	0.00286	0.975	0.985	-0.00959	0.914	0.969
ENSG00000230074		chr9	+	34665607	34681981	-0.257	0.379	0.542	0.00482	0.986	0.993	0.0763	0.782	0.913
ENSG00000137642	SORL1	chr11	+	121452314	121633763	-0.554	0.113	0.236	-0.362	0.289	0.459	-0.263	0.427	0.717
ENSG00000073849	ST6GAL1	chr3	+	186930325	187078553	-0.0597	0.766	0.854	0.061	0.756	0.848	0.0235	0.902	0.964
ENSG00000276527		chr13	-	44684487	44715393	-0.296	0.86		-0.808	0.636		-0.652	0.694	
ENSG00000139546	TARBP2	chr12	+	53500921	53506431	0.142	0.22	0.376	0.0704	0.538	0.687	0.182	0.101	0.393
ENSG00000159423	ALDH4A1	chr1	-	18871430	18902724	0.3	0.0581	0.148	0.332	0.0321	0.119	0.273	0.0694	0.341
ENSG00000269967		chr1	-	31851913	31921841	-0.813	0.172	0.317	0.546	0.316	0.488	0.406	0.44	0.726
ENSG00000132970	WASF3	chr13	+	26557683	26688948	0.105	0.631	0.756	0.0983	0.648	0.771	-0.455	0.0379	0.282
ENSG00000134684	YARS1	chr1	-	32775237	32818031	-0.401	0.0135	0.0552	-0.352	0.0269	0.109	-0.313	0.0418	0.288
ENSG00000129167	TPH1	chr11	-	18017555	18046269	1.05	0.265	0.427	1.18	0.205		1.25	0.172	0.49
ENSG00000099204	ABLIM1	chr10	-	114431112	114768061	1.03	0.00184	0.0179	0.738	0.0229	0.0999	0.6	0.056	0.316
ENSG00000021826	CPS1	chr2	+	210477682	210679107	0.494	0.0353	0.105	0.134	0.57	0.711	-0.066	0.777	0.91
ENSG00000186523	FAM86B1	chr8	-	12182096	12194133	1.18	0.0154	0.0603	0.8	0.101	0.234	1.29	0.00579	0.198
ENSG00000261594	TPBGL	chr11	+	75240774	75243704	-2.98	0.0421		-1.13	0.372		-3.46	0.0249	
ENSG00000166860	ZBTB39	chr12	-	56998836	57006546	0.701	0.000139	0.00588	0.429	0.018	0.0886	0.277	0.116	0.415
ENSG00000213023	SYT3	chr19	-	50621307	50639881	-1	0.348		-1.82	0.113		-0.48	0.637	0.847
ENSG00000227060	LINC00629	chrX	+	134549770	134560399	-0.439	0.863		-0.374	0.881		0.77	0.752	
ENSG00000162521	RBBP4	chr1	+	32651142	32686211	0.102	0.179	0.327	0.0801	0.279	0.449	0.0922	0.199	0.519
ENSG00000129559	NEDD8	chr14	-	24216857	24232367	-0.0626	0.52	0.669	-0.0887	0.353	0.525	-0.0893	0.336	0.649
ENSG00000169876	MUC17	chr7	+	101020072	101058859	-3.36	0.299		-3.25	0.305		-2.97	0.333	
ENSG00000119535	CSF3R	chr1	-	36466043	36483278	-0.591	0.00766	0.0388	-0.288	0.185	0.344	-0.222	0.29	0.61
ENSG00000181074	OR52N4	chr11	+	5754243	5755958	-2.18	0.471		0.232	0.935		-1.06	0.711	
ENSG00000197054	ZNF763	chr19	+	11965037	11980617	0.608	0.00931	0.0438	0.563	0.0148	0.081	0.198	0.391	0.692
ENSG00000251666	ZNF346-IT1	chr5	+	177051714	177052963	1.24	0.229	0.386	2.13	0.0267		2.11	0.0252	0.253
ENSG00000176171	BNIP3	chr10	-	131967684	131981967	-1.01	0.00257	0.021	-0.803	0.0139	0.0788	-0.611	0.053	0.309
ENSG00000158874	APOA2	chr1	-	161222292	161223631	-1.17	0.00261	0.0211	-0.922	0.0146	0.0808	-0.858	0.0189	0.234
ENSG00000184672	RALYL	chr8	+	84182787	84921844	-0.441	0.509	0.659	-1.06	0.123		-1.28	0.063	0.329
ENSG00000136631	VPS45	chr1	+	150067279	150145329	-0.0547	0.644	0.767	-0.0197	0.866	0.92	-0.0275	0.807	0.924
ENSG00000280094	OR1B1	chr9	-	122628125	122657627	0.226	0.915		2.94	0.117		3.53	0.0462	
ENSG00000121316	PLBD1	chr12	-	14503661	14567883	-0.0516	0.7	0.807	-0.0627	0.635	0.761	0.0615	0.631	0.844
ENSG00000135341	MAP3K7	chr6	-	90513573	90587086	0.0193	0.759	0.849	-0.0191	0.757	0.849	0.0643	0.285	0.606
ENSG00000282041		chr22	+	35376422	35377261	1.89	0.403		0.585	0.799		1.33	0.537	
ENSG00000290117		chr1	-	109546610	109548464	0.454	0.518	0.667	0.48	0.49		0.39	0.577	0.813
ENSG00000151079	KCNA6	chr12	+	4809334	4813318	-0.483	0.219	0.375	-0.544	0.158	0.311	-0.0957	0.793	0.918
ENSG00000289703		chr15	-	82173391	82178994	2.55	0.207		1.78	0.376		2.57	0.18	
ENSG00000289233		chr3	+	170729842	170730966	3.1	0.0977		-0.813	0.702		0.0833	0.968	
ENSG00000170049	KCNAB3	chr17	-	7921859	7929856	1.5	0.112	0.235	1.78	0.0546		2.27	0.0114	0.211
ENSG00000047230	CTPS2	chrX	-	16587999	16712936	0.387	0.00113	0.0144	0.224	0.0566	0.164	0.189	0.0995	0.39
ENSG00000198711	SSBP3-AS1	chr1	+	54236440	54239063	-3	0.0724		-0.391	0.756		-0.608	0.616	0.835
ENSG00000142583	SLC2A5	chr1	-	9035106	9088478	-0.0962	0.9	0.941	0.238	0.742		0.0667	0.924	0.972
ENSG00000117419	ERI3	chr1	-	44221070	44355260	0.231	0.0699	0.168	0.318	0.0108	0.0706	0.217	0.076	0.351
ENSG00000135821	GLUL	chr1	-	182378098	182392206	0.21	0.0264	0.0863	0.0875	0.345	0.517	-0.00312	0.972	0.989
ENSG00000180329	CCDC43	chr17	-	44673069	44689779	0.15	0.206	0.359	0.00997	0.932	0.962	0.0418	0.711	0.882
ENSG00000271427		chr1	-	117364899	117365473	0.0557	0.906	0.944	-0.00341	0.994		0.171	0.705	0.878
ENSG00000256925	ADGRA1-AS1	chr10	-	133083073	133088491	-3.62	0.0199		-1.28	0.275		-0.895	0.416	0.709
ENSG00000272004		chr1	+	1659325	1662602	-1.11	0.468		-2.79	0.11		-1.57	0.324	
ENSG00000046653	GPM6B	chrX	-	13770939	13938638	0.671	0.133	0.264	0.581	0.189	0.348	0.508	0.243	0.562
ENSG00000267222		chr17	+	42495867	42496550	-0.17	0.822	0.89	-0.453	0.548		0.452	0.511	0.773
ENSG00000099246	RAB18	chr10	+	27504174	27543207	-0.076	0.395	0.558	-0.182	0.0383	0.131	-0.0289	0.733	0.892
ENSG00000291299		chr22	-	23658094	23693185	0.0811	0.664	0.781	0.351	0.0533	0.158	0.177	0.318	0.635
ENSG00000084444	FAM234B	chr12	+	13044381	13142521	-0.149	0.419	0.58	-0.0378	0.835	0.9	-0.0788	0.656	0.856
ENSG00000141084	RANBP10	chr16	-	67723070	67806560	-0.184	0.0496	0.133	-0.167	0.069	0.184	-0.171	0.0547	0.313
ENSG00000175756	AURKAIP1	chr1	-	1373730	1375207	-0.26	0.0137	0.0557	-0.195	0.0595	0.169	-0.176	0.0794	0.356
ENSG00000226849		chr1	+	11068471	11073097	3.2	0.0763		2.17	0.255		2.92	0.0919	
ENSG00000068438	FTSJ1	chrX	+	48476021	48486364	-0.0493	0.649	0.771	-0.0131	0.902	0.945	-0.128	0.222	0.542
ENSG00000154781	CCDC174	chr3	+	14651762	14672659	0.127	0.321	0.485	0.118	0.351	0.522	-0.00129	0.992	0.997
ENSG00000143376	SNX27	chr1	+	151612006	151699091	-0.773	0.000301	0.00832	-0.604	0.0039	0.0476	-0.509	0.0119	0.213
ENSG00000140577	CRTC3	chr15	+	90529923	90645345	-0.22	0.017	0.0644	-0.0819	0.364	0.535	-0.142	0.105	0.399
ENSG00000126581	BECN1	chr17	-	42810134	42833350	-0.0591	0.393	0.555	-0.215	0.00173	0.0363	-0.113	0.091	0.375
ENSG00000204392	LSM2	chr6	-	31797396	31806966	0.0213	0.825	0.892	0.149	0.115	0.254	-0.101	0.282	0.603
ENSG00000121897	LIAS	chr4	+	39459004	39485109	0.129	0.282	0.444	0.13	0.271	0.441	-0.0128	0.912	0.968
ENSG00000148584	A1CF	chr10	-	50799409	50885675	-1.42	0.614		-2.51	0.361		-0.554	0.828	
ENSG00000128655	PDE11A	chr2	-	177623244	178108339	2.01	0.0898		0.536	0.663		0.336	0.783	0.913
ENSG00000141458	NPC1	chr18	-	23506184	23586506	0.143	0.237	0.396	0.0723	0.544	0.691	0.058	0.616	0.835
ENSG00000287875		chr2	-	58040211	58046700	1.41	0.494		-1.55	0.488		-0.306	0.888	
ENSG00000229613	LINC01501	chr9	-	90462432	90583821	-1.18	0.181	0.33	-1.15	0.192		-0.622	0.453	0.735
ENSG00000232233	LINC02043	chr3	-	186810880	186825521	0.0125	0.993		1.58	0.22		-0.415	0.772	
ENSG00000258884	LINC02321	chr14	-	90820064	90828202	-0.921	0.0332	0.101	-0.304	0.46	0.622	-0.437	0.274	0.594
ENSG00000130711	PRDM12	chr9	+	130664594	130682986	-0.595	0.708		-2.63	0.145		-3.81	0.0294	
ENSG00000229989	MIR181A1HG	chr1	-	198777861	198937471	0.256	0.372	0.535	0.255	0.364	0.535	0.269	0.324	0.641
ENSG00000288075		chr4	-	9034519	9381269	0.246	0.581	0.719	-0.205	0.647	0.771	-0.015	0.972	0.989
ENSG00000264083		chr17	+	32430967	32432841	0.876	0.51		0.405	0.762		1.56	0.183	0.502
ENSG00000204832	ST8SIA6-AS1	chr10	+	17386919	17445758	-0.985	0.0715	0.171	-0.353	0.489	0.647	0.173	0.717	0.884
ENSG00000133019	CHRM3	chr1	+	239386565	239915452	-0.124	0.854	0.911	0.152	0.815		0.366	0.556	0.801
ENSG00000290569		chr1	-	120267334	120341871	1.37	0.109	0.23	0.448	0.616		0.682	0.428	0.717
ENSG00000116663	FBXO6	chr1	+	11664200	11674354	0.666	0.0357	0.106	0.442	0.161	0.314	0.44	0.154	0.468
ENSG00000244754	N4BP2L2	chr13	-	32432417	32538885	-0.194	0.214	0.369	0.0186	0.903	0.945	0.0908	0.54	0.789
ENSG00000286833		chr2	+	132347468	132365130	-0.471	0.819		-1.4	0.503		-2.39	0.239	
ENSG00000226091	LINC00937	chr12	-	8295986	8396803	0.393	0.649	0.771	1.55	0.0536		0.958	0.232	0.553
ENSG00000170989	S1PR1	chr1	+	101236865	101243713	0.122	0.692	0.801	0.0581	0.85	0.909	-0.434	0.167	0.484
ENSG00000162526	TSSK3	chr1	+	32351521	32364312	1.19	0.334		-0.304	0.819		-1.41	0.339	
ENSG00000078668	VDAC3	chr8	+	42391624	42405937	0.271	0.0213	0.0747	0.191	0.0983	0.23	0.182	0.105	0.398
ENSG00000248174	LINC02268	chr4	-	174061732	174220398	2.17	0.164		2.42	0.11		3.19	0.0268	
ENSG00000115207	GTF3C2	chr2	-	27325849	27356999	-0.101	0.0745	0.176	-0.0382	0.492	0.65	-0.0999	0.0656	0.333
ENSG00000291342		chr6	-	26813827	26826848	-1.14	0.756		0.679	0.847		-0.62	0.856	
ENSG00000115738	ID2	chr2	+	8678845	8684461	-0.12	0.409	0.571	-0.198	0.163	0.317	-0.136	0.321	0.637
