gene_ID	hgnc_symbol	chr	strand	start	end	EOMES_KO_log2FoldChange	EOMES_KO_pvalue	EOMES_KO_padj
ENSG00000101901	ALG13	chrX	+	111665811	111760649	0.204	0.0217	0.0377
ENSG00000119888	EPCAM	chr2	+	47345158	47387601	-4.07	4.52e-86	7.42e-85
ENSG00000188365		chr7	+	5419846	5423122	-0.0501	0.956	0.971
ENSG00000151893	CACUL1	chr10	-	118674167	118755249	0.58	2.65e-30	1.86e-29
ENSG00000122223	CD244	chr1	-	160830160	160862887	1.22	0.23	0.311
ENSG00000288833		chr11	-	102346213	102347210	0.782	0.106	0.159
ENSG00000254422		chr11	-	102229851	102230922	0.955	0.475	0.567
ENSG00000137693	YAP1	chr11	+	102110447	102233424	1	1.23e-92	2.18e-91
ENSG00000149823	VPS51	chr11	+	65089324	65111862	0.11	0.0797	0.123
ENSG00000171100	MTM1	chrX	+	150568417	150673143	0.462	0.000564	0.00122
ENSG00000106628	POLD2	chr7	-	44114631	44124358	-0.218	0.000948	0.002
ENSG00000166526	ZNF3	chr7	-	100064033	100082548	-0.138	0.0207	0.0363
ENSG00000225039	LINC01058	chr13	-	30418339	30422251	0.68	0.696	0.765
ENSG00000256060	TRAPPC2B	chr19	+	57363551	57365405	-0.00927	0.954	0.97
ENSG00000237422		chr9	-	91077104	91163328	0.421	0.806	0.856
ENSG00000254862	LGR4-AS1	chr11	+	27471729	27482433	0.528	0.784	0.838
ENSG00000248027	ARHGAP42-AS1	chr11	-	100684162	100687955	-2.67	1.44e-08	4.49e-08
ENSG00000278946		chr5	-	140867513	140867959	-1.61	0.0935	0.142
ENSG00000196104	SPOCK3	chr4	-	166733384	167234796	-3.02	4.12e-71	5.56e-70
ENSG00000102683	SGCG	chr13	+	23180979	23325162	7.39	1.6e-09	5.25e-09
ENSG00000188612	SUMO2	chr17	-	75165586	75182959	-0.313	3.58e-11	1.29e-10
ENSG00000214309	MBLAC1	chr7	+	100126785	100128495	0.952	0.0186	0.0328
ENSG00000254587		chr11	+	96590317	96985810	-6.43	5.11e-07	1.44e-06
ENSG00000205571	SMN2	chr5	+	70049638	70078522	-0.575	1.81e-15	7.96e-15
ENSG00000134853	PDGFRA	chr4	+	54229280	54298245	2.6	7.21e-204	3.07e-202
ENSG00000166037	CEP57	chr11	+	95789965	95832693	0.252	6.68e-05	0.000159
ENSG00000227403	LINC01806	chr2	+	161244720	161249095	-2.34	5.55e-17	2.59e-16
ENSG00000077458	FAM76B	chr11	-	95768953	95790409	0.705	9.51e-15	4.07e-14
ENSG00000166266	CUL5	chr11	+	108008898	108107761	0.286	2.96e-06	7.9e-06
ENSG00000128791	TWSG1	chr18	+	9334767	9402420	0.234	0.000171	0.000391
ENSG00000263465	SRSF8	chr11	+	95066919	95071225	1.61	1.52e-114	3.37e-113
ENSG00000087338	GMCL1	chr2	+	69829660	69881384	0.378	3.09e-08	9.44e-08
ENSG00000170458	CD14	chr5	-	140631728	140633700	-2.77	5.12e-06	1.34e-05
ENSG00000255666	LINC02700	chr11	+	94638045	94652884	-5.3	1.45e-94	2.62e-93
ENSG00000109881	CCDC34	chr11	-	27330827	27363234	0.369	1.45e-05	3.66e-05
ENSG00000255929	PIWIL4-AS1	chr11	-	94545330	94740355	-2.52	0.184	0.257
ENSG00000108370	RGS9	chr17	+	65100812	65227703	-0.575	6.14e-08	1.84e-07
ENSG00000267251		chr18	+	80183680	80202992	-0.533	0.752	0.812
ENSG00000254226	LINC01933	chr5	+	151949571	152270449	1.72	0.401	
ENSG00000134627	PIWIL4	chr11	+	94543840	94621421	-0.686	0.379	0.472
ENSG00000260661		chr15	-	92148752	92331037	-5.07	0.000584	0.00126
ENSG00000151176	PLBD2	chr12	+	113358566	113391629	0.801	2.36e-38	1.94e-37
ENSG00000196510	ANAPC7	chr12	-	110372900	110403730	-0.4	2.36e-12	9.01e-12
ENSG00000184988	TMEM106A	chr17	+	43211835	43220041	-1.43	2.25e-19	1.14e-18
ENSG00000280441		chr21	+	8380643	8454792	0.532	0.0239	0.0413
ENSG00000185946	RNPC3	chr1	+	103525691	103555239	0.211	0.122	0.179
ENSG00000086065	CHMP5	chr9	+	33264879	33282070	0.0368	0.556	0.642
ENSG00000275409		chr12	+	118430147	118430699	0.367	0.758	0.817
ENSG00000106013	ANKRD7	chr7	+	118214669	118496171	-2.28	0.000994	0.00209
ENSG00000186073	CDIN1	chr15	+	36579626	36810248	0.772	3.69e-13	1.47e-12
ENSG00000181333	HEPHL1	chr11	+	94021354	94114208	2.84	0.107	0.16
ENSG00000205791	LOH12CR2	chr12	-	12355403	12357067	-0.284	0.595	0.679
ENSG00000105993	DNAJB6	chr7	+	157335381	157417439	0.397	3.18e-20	1.67e-19
ENSG00000165757	JCAD	chr10	-	30012803	30115494	0.0422	0.348	0.44
ENSG00000042429	MED17	chr11	+	93784227	93814963	-0.468	5.56e-13	2.2e-12
ENSG00000265533	DSEL-AS1	chr18	+	67516546	67899619	2.19	0.263	0.348
ENSG00000129535	NRL	chr14	-	24078662	24115010	-0.586	0.0691	0.109
ENSG00000166012	TAF1D	chr11	-	93729948	93784391	-0.023	0.644	0.722
ENSG00000150394	CDH8	chr16	-	61647242	62037035	0.0459	0.84	0.883
ENSG00000100360	IFT27	chr22	-	36758202	36776256	0.112	0.224	0.303
ENSG00000105438	KDELR1	chr19	-	48382575	48391551	0.338	2.09e-12	7.99e-12
ENSG00000260633		chr3	-	134347288	134349233	-0.801	0.223	0.303
ENSG00000222036	POTEM	chr14	+	18967434	19003752	0.846	0.65	0.727
ENSG00000286650		chrX	+	130165937	130166908	0.0559	0.951	0.969
ENSG00000258815	LINC02820	chr12	+	85318060	85342912	-0.784	0.325	0.416
ENSG00000145623	OSMR	chr5	+	38845858	38945596	0.907	3.64e-11	1.31e-10
ENSG00000166004	CEP295	chr11	+	93661682	93730358	0.049	0.419	0.512
ENSG00000187479	C11orf96	chr11	+	43942637	43943878	5.2	6.12e-06	1.59e-05
ENSG00000153558	FBXL2	chr3	+	33277025	33403662	-0.716	5.96e-08	1.79e-07
ENSG00000285184		chr1	-	150045660	150067722	-0.321	0.172	0.242
ENSG00000099250	NRP1	chr10	-	33177492	33336262	2.38	0	0
ENSG00000166002	SMCO4	chr11	-	93478472	93543391	-0.294	0.0135	0.0243
ENSG00000285805		chr15	+	55588666	55589811	3.74	0.00618	0.0118
ENSG00000180773	SLC36A4	chr11	-	93144174	93197991	0.587	4.18e-15	1.81e-14
ENSG00000132669	RIN2	chr20	+	19757606	20002457	2.46	8.21e-191	3.18e-189
ENSG00000134640	MTNR1B	chr11	+	92969651	92985066	-2.32	0.2	0.276
ENSG00000248098	BCKDHA	chr19	+	41397808	41425002	0.522	3.06e-09	9.91e-09
ENSG00000123136	DDX39A	chr19	-	14408798	14419383	0.284	1.23e-05	3.14e-05
ENSG00000273080		chr2	+	86195154	86196644	-0.0789	0.771	0.827
ENSG00000181027	FKRP	chr19	+	46746046	46776988	0.239	0.0162	0.0289
ENSG00000077616	NAALAD2	chr11	+	90131515	90192894	4.38	1.43e-185	5.4e-184
ENSG00000175505	CLCF1	chr11	-	67364168	67374177	0.172	0.381	0.474
ENSG00000120949	TNFRSF8	chr1	+	12063303	12144207	-2.34	6.69e-13	2.63e-12
ENSG00000137054	POLR1E	chr9	+	37485948	37503697	0.14	0.0874	0.134
ENSG00000163006	CCDC138	chr2	+	108786757	108885477	0.3	0.000893	0.00189
ENSG00000239305	RNF103	chr2	-	86603398	86623866	0.4	5.04e-06	1.32e-05
ENSG00000120820	GLT8D2	chr12	-	103988987	104064183	2.67	5.59e-38	4.57e-37
ENSG00000255082	GRM5-AS1	chr11	+	88504576	88524054	0.617	0.77	0.827
ENSG00000205730	ITPRIPL2	chr16	+	19113932	19121629	0.654	5.86e-36	4.62e-35
ENSG00000179583	CIITA	chr16	+	10866222	10943021	0.705	0.384	0.477
ENSG00000145494	NDUFS6	chr5	+	1801407	1816048	-0.33	3.82e-07	1.09e-06
ENSG00000158042	MRPL17	chr11	-	6680385	6683340	0.512	1.13e-11	4.18e-11
ENSG00000244165	P2RY11	chr19	+	10111693	10115372	0.216	0.41	0.504
ENSG00000166575	TMEM135	chr11	+	87037844	87328824	-1.4	3.05e-95	5.59e-94
ENSG00000100359	SGSM3	chr22	+	40370591	40410289	-0.164	0.03	0.0509
ENSG00000246523	FZD4-DT	chr11	+	86955616	87021909	-1.07	0.00651	0.0124
ENSG00000157107	FCHO2	chr5	+	72956041	73090522	0.441	1.79e-08	5.53e-08
ENSG00000118894	EEF2KMT	chr16	-	5084284	5097795	0.00935	0.942	0.961
ENSG00000174804	FZD4	chr11	-	86945679	86955395	0.517	1.9e-22	1.07e-21
ENSG00000255471	PRSS23-AS1	chr11	-	86892214	86925037	-0.0726	0.729	0.792
ENSG00000269895		chr11	+	86833068	86837615	5.09	0.00145	0.00299
ENSG00000183161	FANCF	chr11	-	22622533	22625823	-0.747	3.82e-20	1.99e-19
ENSG00000277449	CEBPB-AS1	chr20	-	50184598	50191498	-0.765	0.238	0.32
ENSG00000254733		chr11	+	86431590	86622867	-1.11	0.534	0.621
ENSG00000226087		chr2	+	47225781	47240886	2.12	0.342	0.434
ENSG00000154188	ANGPT1	chr8	-	107249482	107498055	1.33	6.74e-09	2.14e-08
ENSG00000149201	CCDC81	chr11	+	86374736	86423109	-2.5	4.88e-249	2.73e-247
ENSG00000128039	SRD5A3	chr4	+	55346213	55373100	-0.182	0.0378	0.0628
ENSG00000006740	ARHGAP44	chr17	+	12789498	12991643	-0.898	2.82e-15	1.23e-14
ENSG00000125257	ABCC4	chr13	-	95019835	95301475	-3.21	0	0
ENSG00000123104	ITPR2	chr12	-	26335352	26833194	1.68	3.91e-131	9.95e-130
ENSG00000198342	ZNF442	chr19	-	12345944	12365905	-0.405	0.00437	0.00849
ENSG00000149196	HIKESHI	chr11	+	86302211	86345943	0.316	3.39e-06	9e-06
ENSG00000288809		chr11	-	86244353	86244973	-0.329	0.675	0.747
ENSG00000184574	LPAR5	chr12	-	6618835	6635960	1.4	0.0471	0.0768
ENSG00000172164	SNTB1	chr8	-	120535745	120813273	-2.74	1.34e-104	2.73e-103
ENSG00000277893	SRD5A2	chr2	-	31522480	31580938	1.81	0.326	0.417
ENSG00000169718	DUS1L	chr17	-	82057506	82065887	-0.00583	0.934	0.955
ENSG00000198932	GPRASP1	chrX	+	102651092	102659083	-0.442	0.000304	0.000677
ENSG00000145386	CCNA2	chr4	-	121816444	121823883	0.193	0.00655	0.0124
ENSG00000183091	NEB	chr2	-	151485336	151734487	-3.04	1.19e-57	1.33e-56
ENSG00000102804	TSC22D1	chr13	-	44432143	44577147	0.903	3.34e-81	5.18e-80
ENSG00000128422	KRT17	chr17	-	41619442	41624842	-0.44	0.782	0.837
ENSG00000101670	LIPG	chr18	+	49560699	49599185	0.664	2.21e-18	1.09e-17
ENSG00000158987	RAPGEF6	chr5	-	131423921	131635231	-0.176	0.00564	0.0108
ENSG00000234377	OBI1-AS1	chr13	+	77919689	78617328	-2.46	0.0024	0.00482
ENSG00000188687	SLC4A5	chr2	-	74216242	74343416	-0.955	0.00894	0.0166
ENSG00000237254	TRBV30	chr7	-	142812586	142813399	-1.53	0.433	0.526
ENSG00000126858	RHOT1	chr17	+	32142454	32253374	-0.61	1.72e-22	9.7e-22
ENSG00000168542	COL3A1	chr2	+	188974373	189012746	16.9	1.69e-60	1.97e-59
ENSG00000256092	SBNO1-AS1	chr12	+	123363868	123366113	-1.35	1.35e-06	3.69e-06
ENSG00000244242	IFITM10	chr11	-	1732406	1750595	1.47	0.00182	0.00372
ENSG00000275097		chr12	-	31280422	31280895	-0.284	0.532	0.619
ENSG00000156515	HK1	chr10	+	69269984	69401884	2.38	0	0
ENSG00000181323	SPEM1	chr17	+	7420324	7421632	0.831	0.689	0.759
ENSG00000150672	DLG2	chr11	-	83455012	85628335	-0.178	0.187	0.26
ENSG00000104687	GSR	chr8	-	30678066	30727846	-0.63	1.37e-28	9.18e-28
ENSG00000165494	PCF11	chr11	+	83156988	83187451	-0.173	0.0012	0.00251
ENSG00000250938	MAD2L1-DT	chr4	+	120066904	120564789	0.982	0.0846	0.13
ENSG00000246067	RAB30-DT	chr11	+	83072052	83107789	-0.147	0.199	0.275
ENSG00000086015	MAST2	chr1	+	45786987	46036122	-0.494	7.84e-18	3.78e-17
ENSG00000068305	MEF2A	chr15	+	99565417	99716488	0.86	8.84e-43	7.94e-42
ENSG00000137509	PRCP	chr11	-	82822936	82970584	0.98	3.04e-65	3.79e-64
ENSG00000288704		chr19	-	1245890	1249559	1.6	0.159	0.226
ENSG00000249395	CASC9	chr8	-	75120409	75352327	0.221	0.535	0.622
ENSG00000113196	HAND1	chr5	-	154474972	154478227	11.8	3.45e-87	5.74e-86
ENSG00000288804		chr1	+	65067808	65069453	1.03	0.262	0.347
ENSG00000118369	USP35	chr11	+	78188812	78215232	1.08	6.81e-21	3.65e-20
ENSG00000188997	KCTD21	chr11	-	78171249	78188626	1.31	1.4e-33	1.05e-32
ENSG00000131126	TEX101	chr19	+	43401496	43418597	-3.66	0.0685	
ENSG00000172638	EFEMP2	chr11	-	65866441	65873592	1.2	3.61e-78	5.37e-77
ENSG00000151366	NDUFC2	chr11	-	78068297	78079862	-0.259	2.8e-06	7.5e-06
ENSG00000197714	ZNF460	chr19	+	57280051	57294069	0.163	0.00196	0.00399
ENSG00000149262	INTS4	chr11	-	77874418	77994715	1.02	3.54e-36	2.8e-35
ENSG00000255449		chr11	-	77866412	77870091	0.279	0.861	0.898
ENSG00000289437		chr12	+	95260099	95261021	-0.646	0.228	0.308
ENSG00000184719	RNLS	chr10	-	88273864	88584530	0.225	0.169	0.238
ENSG00000174989	FBXW8	chr12	+	116910950	117031148	0.727	1.82e-24	1.09e-23
ENSG00000165832	TRUB1	chr10	+	114938195	114977676	0.174	0.0156	0.0278
ENSG00000131379	C3orf20	chr3	+	14675141	14773036	-0.613	0.757	0.816
ENSG00000048649	RSF1	chr11	-	77660009	77820869	0.284	1.1e-08	3.47e-08
ENSG00000169131	ZNF354A	chr5	-	178711512	178730659	-1.01	4.41e-32	3.22e-31
ENSG00000178301	AQP11	chr11	+	77589391	77610356	-1.36	0.00238	0.00478
ENSG00000133636	NTS	chr12	+	85874295	85882992	7.83	7.95e-246	4.39e-244
ENSG00000101438	SLC32A1	chr20	+	38724486	38729372	-0.605	0.774	0.83
ENSG00000174099	MSRB3	chr12	+	65278643	65491430	4.05	1.91e-210	8.52e-209
ENSG00000037897	METTL1	chr12	-	57768471	57772119	-0.168	0.214	0.292
ENSG00000002330	BAD	chr11	-	64269830	64284704	-0.838	1.56e-17	7.42e-17
ENSG00000187650	VMAC	chr19	+	5904872	5910853	-0.464	0.0794	0.123
ENSG00000204560	DHX16	chr6	-	30653119	30673006	-0.452	9.15e-11	3.22e-10
ENSG00000254469	XNDC1N	chr11	-	71865504	71928654	0.266	0.209	0.286
ENSG00000075711	DLG1	chr3	-	197042560	197299330	0.513	1.77e-19	9.04e-19
ENSG00000272562	H3-3A-DT	chr1	-	226045561	226061898	-1.79	0.00661	0.0125
ENSG00000111331	OAS3	chr12	+	112938051	112976460	4.45	4.21e-43	3.8e-42
ENSG00000137492	THAP12	chr11	-	76349898	76381132	0.511	4.37e-17	2.05e-16
ENSG00000163848	ZNF148	chr3	-	125225669	125375325	-0.202	0.000164	0.000375
ENSG00000261654		chr1	-	110936369	110942353	-0.155	0.658	0.734
ENSG00000259920		chr7	-	130481491	130484392	-1.04	0.55	0.636
ENSG00000289223		chr11	-	129859837	129861941	0.291	0.64	0.719
ENSG00000169410	PTPN9	chr15	-	75463251	75579315	-0.51	5.6e-21	3.01e-20
ENSG00000142655	PEX14	chr1	+	10472288	10630758	-0.516	1.04e-08	3.26e-08
ENSG00000136040	PLXNC1	chr12	+	94148577	94307675	3.51	2.18e-32	1.61e-31
ENSG00000117906	RCN2	chr15	+	76931738	76954393	0.359	2.55e-09	8.29e-09
ENSG00000285870		chr12	+	30696121	30700220	1.99	0.268	0.354
ENSG00000288701	PRRC2B	chr9	+	131373636	131500197	0.18	4.28e-05	0.000104
ENSG00000105197	TIMM50	chr19	+	39480412	39493785	-0.0687	0.297	0.386
ENSG00000198382	UVRAG	chr11	+	75815210	76144232	0.238	0.00983	0.0182
ENSG00000106536	POU6F2	chr7	+	38977909	39493095	-1.03	2.14e-10	7.37e-10
ENSG00000171533	MAP6	chr11	-	75586918	75669038	-3.27	9.49e-11	3.34e-10
ENSG00000158555	GDPD5	chr11	-	75434640	75525941	2.92	2.86e-69	3.79e-68
ENSG00000137491	SLCO2B1	chr11	+	75100563	75206549	-1.46	0.174	0.244
ENSG00000289866		chr14	+	50668405	50669009	1.29	0.0721	0.113
ENSG00000237609	LINC02943	chr21	-	39028536	39029128	-1.92	0.204	0.28
ENSG00000166839	ANKDD1A	chr15	+	64911902	64958691	-4.87	9.59999999999999e-263	5.89e-261
ENSG00000164237	CMBL	chr5	-	10275875	10307902	0.251	0.0151	0.027
ENSG00000287493		chr12	-	121887540	121888643	0.944	0.561	0.646
ENSG00000289343		chr11	+	67508772	67509141	-1.01	0.704	
ENSG00000118363	SPCS2	chr11	+	74949261	74979033	-0.0802	0.183	0.255
ENSG00000187678	SPRY4	chr5	-	142310427	142326455	0.105	0.0286	0.0488
ENSG00000170153	RNF150	chr4	-	140859807	141212877	1.07	7.51e-41	6.52e-40
ENSG00000166439	RNF169	chr11	+	74748849	74842413	-0.843	9.39e-55	1.01e-53
ENSG00000054938	CHRDL2	chr11	-	74696429	74731426	-2.76	0.0736	0.115
ENSG00000186104	CYP2R1	chr11	-	14877440	14892231	0.215	0.0777	0.12
ENSG00000248964		chr8	-	29815004	29854543	-5.01	0.000174	0.000398
ENSG00000251600		chr4	+	143559457	144343750	-0.886	0.00637	0.0121
ENSG00000226913	BSN-DT	chr3	-	49549306	49554366	-3.13	3.41e-05	8.33e-05
ENSG00000175536	LIPT2	chr11	-	74490519	74493724	-0.281	0.149	0.214
ENSG00000254874		chr11	+	92965797	92966603	-0.0525	0.985	
ENSG00000109113	RAB34	chr17	-	28714281	28718429	0.142	0.0139	0.0251
ENSG00000241837	ATP5PO	chr21	-	33903453	33915814	0.281	5.45e-08	1.64e-07
ENSG00000138036	DYNC2LI1	chr2	+	43774039	43810010	-0.515	1.79e-07	5.2e-07
ENSG00000288979		chr3	-	194586135	194587136	1.32	0.124	0.182
ENSG00000160716	CHRNB2	chr1	+	154567778	154580013	0.319	0.368	0.461
ENSG00000163960	UBXN7	chr3	-	196347662	196432430	-0.137	0.00327	0.00646
ENSG00000097096	SYDE2	chr1	-	85156889	85201724	0.986	4.37e-42	3.89e-41
ENSG00000240591		chr22	+	31452881	31464304	-0.187	0.843	0.886
ENSG00000149380	P4HA3	chr11	-	74235801	74311640	4.12	0.024	0.0415
ENSG00000245060	LINC00847	chr5	+	180830326	180839742	-0.774	1.05e-07	3.08e-07
ENSG00000135643	KCNMB4	chr12	+	70366290	70434292	0.646	5.22e-20	2.72e-19
ENSG00000064199	SPA17	chr11	+	124673844	124697518	-0.657	1.3e-06	3.57e-06
ENSG00000161800	RACGAP1	chr12	-	49976923	50033136	0.245	3.91e-05	9.51e-05
ENSG00000251026	NIHCOLE	chr5	+	104079847	104406121	0.973	0.599	0.682
ENSG00000214517	PPME1	chr11	+	74171267	74254703	0.319	6.5e-06	1.69e-05
ENSG00000168014	C2CD3	chr11	-	74012718	74171210	0.628	9.44e-24	5.54e-23
ENSG00000139163	ETNK1	chr12	+	22625075	22690665	0.109	0.0512	0.0827
ENSG00000175564	UCP3	chr11	-	74000277	74009085	0.624	0.404	0.497
ENSG00000110955	ATP5F1B	chr12	-	56638175	56645984	0.139	0.00283	0.00564
ENSG00000133858	ZFC3H1	chr12	-	71609599	71667725	-0.414	8.61e-14	3.53e-13
ENSG00000187726	DNAJB13	chr11	+	73951026	73970366	-2.58	0.0779	0.121
ENSG00000175575	PAAF1	chr11	+	73876699	73931114	-0.138	0.069	0.108
ENSG00000133657	ATP13A3	chr3	-	194402672	194498364	-0.409	5.21e-15	2.25e-14
ENSG00000289236		chr20	-	62120046	62121762	1.18	0.211	0.288
ENSG00000256034		chr11	+	73760563	73761070	0.63	0.67	0.743
ENSG00000054965	FAM168A	chr11	-	73400487	73598189	0.412	7.69e-15	3.3e-14
ENSG00000054967	RELT	chr11	+	73376399	73397474	0.29	0.0805	0.124
ENSG00000257038	ARHGEF17-AS1	chr11	-	73307235	73309361	2.32	0.00585	0.0112
ENSG00000132849	PATJ	chr1	+	61742477	62178675	-2.34	3.05e-50	3.06e-49
ENSG00000105443	CYTH2	chr19	+	48469208	48482314	0.623	1.12e-33	8.46e-33
ENSG00000165025	SYK	chr9	+	90801787	90898549	-2.21	8.46e-10	2.83e-09
ENSG00000253582	OXR1-AS1	chr8	-	106520474	106657548	-0.171	0.933	0.954
ENSG00000137478	FCHSD2	chr11	-	72836745	73142318	1.67	4.18e-85	6.77e-84
ENSG00000214530	STARD10	chr11	-	72754729	72794047	-0.155	0.175	0.245
ENSG00000012171	SEMA3B	chr3	+	50267558	50277546	-0.362	0.191	0.265
ENSG00000166451	CENPN	chr16	+	81006552	81033114	0.318	1.08e-06	2.97e-06
ENSG00000287851		chr11	-	67316539	67317431	-0.489	0.609	0.691
ENSG00000165233	CARD19	chr9	+	93096217	93113283	-1.05	6.66e-11	2.35e-10
ENSG00000267784		chr2	+	178723457	178727046	-0.0371	0.973	0.983
ENSG00000269243		chr19	-	16123661	16139892	1.69	0.0234	0.0404
ENSG00000205138	SDHAF1	chr19	+	35995188	35996312	0.0958	0.497	0.587
ENSG00000111752	PHC1	chr12	+	8913896	8941467	0.687	9.88e-31	7e-30
ENSG00000185955	SPACDR	chr7	-	100456620	100464260	-1.78	0.0808	0.125
ENSG00000256007	ARAP1-AS1	chr11	+	72685075	72693808	0.616	0.775	0.831
ENSG00000104388	RAB2A	chr8	+	60516936	60623644	0.188	0.000516	0.00112
ENSG00000271947		chr2	-	6905724	6906301	-0.44	0.715	0.781
ENSG00000186642	PDE2A	chr11	-	72576141	72674591	1.47	3.74e-13	1.49e-12
ENSG00000212993	POU5F1B	chr8	+	127322183	127420066	0.973	0.0352	0.0589
ENSG00000198435	NRARP	chr9	-	137299631	137302271	1.61	6.87e-36	5.41e-35
ENSG00000272735		chr2	-	71067519	71068542	-0.641	0.12	0.176
ENSG00000162129	CLPB	chr11	-	72285495	72434680	0.962	5.99e-34	4.54e-33
ENSG00000005486	RHBDD2	chr7	+	75842602	75888926	-0.421	2.34e-11	8.49e-11
ENSG00000103404	USP31	chr16	-	23061406	23149452	-0.0833	0.108	0.162
ENSG00000139438	FAM222A	chr12	+	109713825	109770495	-0.969	2.39e-35	1.86e-34
ENSG00000205744	DENND1C	chr19	-	6467207	6482557	-2.66	1.64e-18	8.1e-18
ENSG00000236140		chr1	-	145286610	145287755	-4.04	0.0266	
ENSG00000169193	CCDC126	chr7	+	23597382	23644708	-0.341	0.0103	0.0189
ENSG00000137338	PGBD1	chr6	+	28281572	28302549	0.332	0.000759	0.00162
ENSG00000268416		chr19	-	20746923	20755250	0.445	0.739	0.801
ENSG00000167562	ZNF701	chr19	+	52555822	52587174	-0.516	4.26e-10	1.45e-09
ENSG00000149357	LAMTOR1	chr11	-	72085895	72103297	-0.0856	0.188	0.261
ENSG00000184154	LRRC51	chr11	+	72080337	72096895	-0.187	0.296	0.385
ENSG00000161013	MGAT4B	chr5	-	179797597	179806952	0.0728	0.213	0.291
ENSG00000137496	IL18BP	chr11	+	71998613	72007315	-0.0565	0.779	0.835
ENSG00000137522	RNF121	chr11	+	71929018	71997597	0.401	8.82e-07	2.45e-06
ENSG00000285933		chr11	+	71745331	71747051	-1.38	3.8e-10	1.29e-09
ENSG00000140848	CPNE2	chr16	+	57092583	57148369	0.783	8.44e-19	4.21e-18
ENSG00000231128		chr1	+	113812379	113870159	1.44	0.149	0.214
ENSG00000111405	ENDOU	chr12	-	47709734	47725567	0.909	0.734	
ENSG00000280384		chr22	+	46163303	46165347	-1.21	0.252	0.336
ENSG00000108950	FAM20A	chr17	-	68535113	68601367	-4.14	0	0
ENSG00000290775		chr11	+	71711740	71722227	-0.13	0.847	0.889
ENSG00000254972		chr11	-	71701268	71705404	-2.06	0.203	0.28
ENSG00000130433	CACNG6	chr19	+	53991637	54012666	0.0507	0.903	0.932
ENSG00000248671		chr11	-	71673885	71813859	-0.538	0.179	0.25
ENSG00000204572	KRTAP5-10	chr11	+	71565563	71566735	-2.92	0.205	0.281
ENSG00000288588		chr4	+	6245563	6261639	1.65	0.354	0.446
ENSG00000145390	USP53	chr4	+	119212587	119295518	-1.9	1.78e-235	9.24999999999999e-234
ENSG00000172890	NADSYN1	chr11	+	71453109	71524107	0.215	0.00754	0.0141
ENSG00000104267	CA2	chr8	+	85463968	85481493	-0.837	1.81e-17	8.6e-17
ENSG00000135093	USP30	chr12	+	109023089	109088023	0.464	3.9e-06	1.03e-05
ENSG00000274929		chr13	-	48532013	48532599	2.7	0.0115	0.021
ENSG00000148498	PARD3	chr10	-	34109560	34815325	-0.696	7.36e-42	6.51e-41
ENSG00000162105	SHANK2	chr11	-	70467854	71252577	-3.06	4.25e-149	1.23e-147
ENSG00000289222		chr16	-	2903540	2905402	-0.213	0.643	0.721
ENSG00000089639	GMIP	chr19	-	19629476	19643657	0.201	0.0334	0.0561
ENSG00000085733	CTTN	chr11	+	70398404	70436584	0.248	3.08e-05	7.57e-05
ENSG00000253710	ALG11	chr13	+	52012391	52079232	0.0885	0.0779	0.121
ENSG00000142657	PGD	chr1	+	10398592	10420511	0.213	3.55e-06	9.41e-06
ENSG00000267787		chr18	+	57639455	57738603	-0.342	0.122	0.179
ENSG00000240207		chr3	+	158732263	158784070	-0.896	0.0294	0.0499
ENSG00000115459	ELMOD3	chr2	+	85354394	85391752	0.168	0.172	0.242
ENSG00000233381	AK4P3	chr12	-	31615023	31652095	-1.74	2.52e-12	9.58e-12
ENSG00000196436	NPIPB15	chr16	+	74376306	74392115	-0.613	0.62	0.701
ENSG00000131626	PPFIA1	chr11	+	70270690	70385312	-1.15	2.68e-94	4.84e-93
ENSG00000092020	PPP2R3C	chr14	-	35085467	35122517	0.461	5.34e-09	1.71e-08
ENSG00000185344	ATP6V0A2	chr12	+	123712353	123761755	-0.871	8.69e-37	6.94e-36
ENSG00000168056	LTBP3	chr11	-	65538559	65558930	1.67	2.95e-43	2.67e-42
ENSG00000144648	ACKR2	chr3	+	42804752	42887974	-0.948	0.000522	0.00113
ENSG00000133119	RFC3	chr13	+	33818069	33966558	0.522	3.09e-11	1.11e-10
ENSG00000113805	CNTN3	chr3	-	74262568	74614659	-5.34	1.36e-27	8.88e-27
ENSG00000224596	ZMIZ1-AS1	chr10	-	78943328	79067895	-0.916	0.439	0.532
ENSG00000127377	CRYGN	chr7	-	151428832	151440813	-2.68	1.03e-09	3.41e-09
ENSG00000228421		chr7	+	28957667	28959345	2.39	0.363	
ENSG00000171241	SHCBP1	chr16	-	46578591	46621379	0.666	1.19e-12	4.63e-12
ENSG00000149716	LTO1	chr11	-	69653076	69675416	0.125	0.291	0.379
ENSG00000259006		chr16	-	89919827	89922662	-1.21	0.0168	0.0299
ENSG00000256712		chr12	-	11166090	11171353	-0.757	0.478	0.57
ENSG00000272343		chr8	+	56222688	56223173	0.326	0.692	0.762
ENSG00000110090	CPT1A	chr11	-	68754620	68844410	-2.01	3.62e-22	2.02e-21
ENSG00000289321		chr1	+	146486650	146487965	-0.174	0.708	0.775
ENSG00000069482	GAL	chr11	+	68683779	68691175	-3.12	3.6e-238	1.9e-236
ENSG00000139405	RITA1	chr12	+	113185526	113192368	0.0906	0.315	0.406
