gene_ID	hgnc_symbol	chr	strand	start	end	MEF2C_CE_log2FoldChange	MEF2C_CE_pvalue	MEF2C_CE_padj	MEF2C_KO_log2FoldChange	MEF2C_KO_pvalue	MEF2C_KO_padj	MEF2C_PTC_log2FoldChange	MEF2C_PTC_pvalue	MEF2C_PTC_padj
ENSG00000231999	LRRC8C-DT	chr1	-	89581291	89633003	-0.419	0.277	0.703	-0.369	0.325	1	0.242	0.494	1
ENSG00000050438	SLC4A8	chr12	+	51391317	51515763	-0.654	0.0198	0.589	-0.134	0.633	1	-0.201	0.473	1
ENSG00000117475	BLZF1	chr1	+	169367970	169396540	0.00508	0.966	0.993	0.0398	0.739	1	0.00891	0.94	1
ENSG00000267980		chr19	+	4363789	4364640	-0.828	0.354	0.746	-1.12	0.211	1	-0.834	0.337	1
ENSG00000177105	RHOG	chr11	-	3826978	3840959	0.426	0.0132	0.589	0.251	0.143	1	0.171	0.318	1
ENSG00000162643	DNAI3	chr1	+	84999147	85133138	-0.396	0.236	0.677	-0.44	0.181	1	-0.532	0.105	1
ENSG00000162654	GBP4	chr1	-	89181144	89198942	0.699	0.397	0.772	-0.343	0.699	1	-0.127	0.883	1
ENSG00000181852	RNF41	chr12	-	56202179	56221933	-0.0357	0.826	0.949	0.176	0.276	1	0.15	0.354	1
ENSG00000269696	ZNF470-DT	chr19	-	56545566	56567441	1.01	0.139	0.622	0.29	0.683	1	0.0922	0.898	1
ENSG00000179041	RRS1	chr8	+	66429014	66430733	0.613	0.0625	0.589	0.049	0.882	1	0.0988	0.764	1
ENSG00000100983	GSS	chr20	-	34928432	34956027	-0.128	0.354	0.746	0.0478	0.728	1	0.0105	0.939	1
ENSG00000117983	MUC5B	chr11	+	1223066	1262172	2.04	0.427		0.847	0.749		2.22	0.378	
ENSG00000143318	CASQ1	chr1	+	160190575	160201886	0.218	0.624	0.886	-0.566	0.204	1	-0.203	0.649	1
ENSG00000137312	FLOT1	chr6	-	30727709	30742732	0.0391	0.841	0.954	-0.195	0.318	1	0.0341	0.861	1
ENSG00000101191	DIDO1	chr20	-	62877738	62937952	0.027	0.769	0.933	-0.0594	0.518	1	-0.0866	0.346	1
ENSG00000162344	FGF19	chr11	-	69698238	69704022	0.385	0.876		0.787	0.742	1	-1.06	0.679	
ENSG00000092295	TGM1	chr14	-	24249114	24264432	-0.26	0.44	0.793	0.223	0.506	1	0.0674	0.841	1
ENSG00000278705	H4C2	chr6	-	26026896	26027283	0.205	0.198	0.656	0.178	0.262	1	0.171	0.279	1
ENSG00000278041		chr20	-	21499261	21502934	-0.621	0.507	0.829	0.0122	0.989	1	-0.211	0.815	1
ENSG00000162645	GBP2	chr1	-	89106132	89150456	0.582	0.183	0.646	-0.117	0.79	1	0.035	0.936	1
ENSG00000258092		chr12	-	2797136	2803938	-1.78	0.444		1.41	0.5	1	-2.11	0.364	
ENSG00000285873		chr1	+	22142850	22157401	0.452	0.612	0.881	0.244	0.784	1	0.33	0.708	1
ENSG00000287235		chr10	-	5563295	5566881	-0.503	0.673	0.904	-0.461	0.693	1	-0.764	0.519	1
ENSG00000132792	CTNNBL1	chr20	+	37693955	37872129	0.199	0.221	0.669	0.0454	0.78	1	0.0629	0.698	1
ENSG00000276997		chr1	-	222477252	222504622	-0.942	0.04	0.589	-0.392	0.375	1	0.127	0.77	1
ENSG00000066027	PPP2R5A	chr1	+	212285410	212361853	0.0492	0.729	0.921	0.0371	0.793	1	0.0125	0.929	1
ENSG00000111196	MAGOHB	chr12	-	10604193	10613609	-0.282	0.0892	0.592	-0.236	0.154	1	-0.186	0.257	1
ENSG00000107443	CCNJ	chr10	+	96043394	96060870	-0.26	0.271	0.701	0.218	0.354	1	0.147	0.532	1
ENSG00000117228	GBP1	chr1	-	89051882	89065360	0.614	0.21	0.661	-0.15	0.76	1	-0.051	0.917	1
ENSG00000167733	HSD11B1L	chr19	+	5680604	5688523	0.139	0.656	0.898	0.431	0.155	1	0.43	0.153	1
ENSG00000289612		chr1	+	107140235	107140802	1.91	0.34	0.738	2.14	0.276	1	1.93	0.328	1
ENSG00000257303	CNPY2-AS1	chr12	+	56300075	56317992	-0.408	0.418	0.782	-0.203	0.676	1	0.173	0.712	1
ENSG00000289270		chr10	+	51531638	51533633	0.287	0.698	0.912	0.81	0.247	1	0.32	0.656	1
ENSG00000144730	IL17RD	chr3	-	57089982	57170306	-0.34	0.229	0.673	0.0668	0.813	1	0.0511	0.856	1
ENSG00000140931	CMTM3	chr16	+	66603874	66613892	0.0611	0.523	0.839	0.154	0.105	1	0.072	0.449	1
ENSG00000184611	KCNH7	chr2	-	162371407	162838767	-0.16	0.616	0.882	-0.00317	0.992	1	-0.0755	0.811	1
ENSG00000197852	INKA2	chr1	-	111680630	111755824	-0.441	0.165	0.635	0.17	0.589	1	0.114	0.717	1
ENSG00000169955	ZNF747	chr16	-	30530367	30535347	-0.201	0.207	0.66	-0.0475	0.76	1	-0.138	0.374	1
ENSG00000286760		chr6	+	166342626	166351466	-0.294	0.514	0.834	0.00152	0.997	1	-0.252	0.566	1
ENSG00000237505	PKN2-AS1	chr1	-	87620803	88685204	-0.511	0.272	0.701	-0.686	0.139	1	-0.0826	0.85	1
ENSG00000272568	CPVL-AS2	chr7	+	28979967	29013367	-0.194	0.808	0.942	-0.147	0.852	1	-0.245	0.755	1
ENSG00000224418	STK24-AS1	chr13	+	98577244	98578830	-0.387	0.613	0.881	-0.982	0.215	1	-0.0755	0.918	1
ENSG00000237187	NR2F1-AS1	chr5	-	93360779	93585649	0.134	0.75	0.925	-0.304	0.478	1	0.223	0.584	1
ENSG00000151148	UBE3B	chr12	+	109477402	109536705	0.0842	0.469	0.809	0.0818	0.48	1	0.0693	0.549	1
ENSG00000167393	PPP2R3B	chrX	-	333933	386955	0.0095	0.957	0.993	0.079	0.653	1	0.0292	0.868	1
ENSG00000038274	MAT2B	chr5	+	163503114	163519558	-0.0597	0.68	0.907	0.0717	0.618	1	0.0295	0.837	1
ENSG00000187513	GJA4	chr1	+	34792999	34795747	-1.77	0.5		-1.04	0.692	1	-0.218	0.932	1
ENSG00000251629	LINC02241	chr5	+	20611806	20937800	-1.85	0.0677	0.589	-0.55	0.535	1	-0.525	0.551	1
ENSG00000204175	GPRIN2	chr10	-	46541736	46556658	-0.432	0.292	0.712	0.0774	0.849	1	0.0697	0.863	1
ENSG00000260233	ZNRD2-DT	chr11	-	65568482	65570458	0.251	0.551	0.853	-0.158	0.709	1	-0.257	0.545	1
ENSG00000205041		chr19	-	40273489	40275479	-0.201	0.455	0.801	-0.00912	0.972	1	0.0802	0.754	1
ENSG00000138347	MYPN	chr10	+	68087897	68212017	-0.906	0.693		-0.341	0.878	1	0.746	0.721	1
ENSG00000289091		chr2	-	120255848	120259223	0.074	0.943	0.993	-0.598	0.57	1	-0.0595	0.953	1
ENSG00000203772	SPRN	chr10	-	133420666	133424625	0.544	0.706	0.915	0.76	0.589	1	1.21	0.378	1
ENSG00000102710	SUPT20H	chr13	-	37009312	37059713	-0.0254	0.782	0.937	-0.0749	0.413	1	-0.0626	0.492	1
ENSG00000108479	GALK1	chr17	-	75751594	75765236	0.111	0.512	0.832	-0.0154	0.927	1	0.151	0.358	1
ENSG00000289872		chr20	+	35742619	35743823	1.28	0.077	0.589	1.34	0.0603	1	1.12	0.12	1
ENSG00000107745	MICU1	chr10	-	72367340	72626131	-0.146	0.342	0.74	0.106	0.484	1	0.0925	0.542	1
ENSG00000254980		chr11	-	111514043	111526755	-1.08	0.519	0.836	-1.25	0.452	1	0.0607	0.968	1
ENSG00000135596	MICAL1	chr6	-	109444062	109465968	-0.143	0.359	0.748	-0.0178	0.909	1	-0.0274	0.86	1
ENSG00000157881	PANK4	chr1	-	2508537	2526597	0.11	0.497	0.825	-0.03	0.853	1	0.0613	0.704	1
ENSG00000287906		chr11	-	3475280	3477065	0.931	0.333	0.736	1.07	0.263	1	0.326	0.736	1
ENSG00000290792		chr1	-	149844498	149850937	-0.127	0.278	0.703	-0.285	0.0145	1	-0.107	0.352	1
ENSG00000269867		chr19	-	57867038	57868172	-0.415	0.365	0.753	0.0634	0.886	1	0.089	0.839	1
ENSG00000188234	AGAP4	chr10	-	45825594	45853875	-0.245	0.0826	0.591	-0.375	0.00751	1	-0.17	0.218	1
ENSG00000120526	NUDCD1	chr8	-	109240919	109334121	-0.187	0.363	0.751	-0.0225	0.913	1	0.034	0.868	1
ENSG00000274427		chr12	-	123515275	123515513	-1.39	0.13	0.613	0.258	0.723	1	0.0756	0.918	1
ENSG00000262966		chr17	-	9171068	9179118	0.936	0.651	0.896	1.28	0.517	1	1.63	0.398	1
ENSG00000172382	PRSS27	chr16	-	2712419	2720551	0.769	0.109	0.603	-0.228	0.644	1	-0.0869	0.859	1
ENSG00000123815	COQ8B	chr19	-	40691514	40725784	-0.22	0.14	0.622	-0.115	0.436	1	-0.152	0.302	1
ENSG00000117174	ZNHIT6	chr1	-	85649417	85708433	-0.24	0.293	0.712	0.0927	0.684	1	0.0105	0.963	1
ENSG00000074266	EED	chr11	+	86201212	86278813	-0.0163	0.919	0.986	-0.114	0.476	1	-0.064	0.689	1
ENSG00000272461		chr18	-	962592	976883	1.46	0.629	0.888	-1.08	0.73		-0.214	0.945	
ENSG00000227198	C6orf47-AS1	chr6	+	31658329	31660721	-0.804	0.723	0.92	-0.038	0.986	1	-1.13	0.618	1
ENSG00000164007	CLDN19	chr1	-	42733093	42740254	0.952	0.141	0.622	-0.168	0.799	1	0.168	0.797	1
ENSG00000119411	BSPRY	chr9	+	113349541	113371233	0.765	0.0659	0.589	0.0605	0.886	1	-0.0263	0.95	1
ENSG00000232586	KIAA1614-AS1	chr1	-	180949699	180954887	0.322	0.332	0.736	-0.226	0.506	1	0.0363	0.913	1
ENSG00000233237	LINC00472	chr6	-	71187161	71420745	-0.445	0.0137	0.589	-0.194	0.28	1	-0.139	0.439	1
ENSG00000134864	GGACT	chr13	-	100530164	100589528	-0.161	0.533	0.844	-0.0998	0.69	1	-0.0694	0.779	1
ENSG00000166578	IQCD	chr12	-	113195441	113221094	0.817	0.155	0.628	-0.228	0.694	1	0.228	0.693	1
ENSG00000253837	LOXL2-AS1	chr8	+	23336171	23366125	-0.194	0.794	0.938	0.0702	0.922	1	0.458	0.514	1
ENSG00000105726	ATP13A1	chr19	-	19645198	19663676	0.268	0.225	0.671	-0.026	0.906	1	-0.0379	0.864	1
ENSG00000254910		chr11	-	310139	311141	-0.426	0.839	0.953	-1.61	0.462	1	-0.852	0.687	1
ENSG00000131558	EXOC4	chr7	+	133253073	134066589	-0.179	0.223	0.67	-0.00369	0.98	1	0.0426	0.771	1
ENSG00000187288	CIDEC	chr3	-	9866711	9880255	2.01	0.346	0.742	1.27	0.56	1	0.616	0.785	
ENSG00000135482	ZC3H10	chr12	+	56118260	56127514	0.00791	0.956	0.993	-0.0526	0.708	1	0.0631	0.649	1
ENSG00000274070	CASTOR2	chr7	+	74964705	75031528	0.456	0.0239	0.589	0.152	0.45	1	0.112	0.579	1
ENSG00000141456	PELP1	chr17	-	4669774	4704337	0.111	0.269	0.701	0.104	0.296	1	0.0214	0.83	1
ENSG00000086205	FOLH1	chr11	-	49145092	49208638	-1.6	0.126	0.611	-1.16	0.232	1	-0.145	0.871	1
ENSG00000187961	KLHL17	chr1	+	960584	965719	-0.403	0.0738	0.589	0.0378	0.864	1	0.00538	0.98	1
ENSG00000203334		chr11	+	108957718	108959797	0.772	0.619	0.883	1.44	0.32	1	1.63	0.251	1
ENSG00000166669	ATF7IP2	chr16	+	10326434	10483638	0.167	0.651	0.896	-0.414	0.262	1	-0.183	0.62	1
ENSG00000287629		chr3	-	42665873	42683793	-0.0913	0.935	0.992	-1.9	0.176	1	0.349	0.742	1
ENSG00000266718		chr17	+	32495536	32500910	-0.487	0.838	0.953	-1.51	0.536	1	-2.57	0.292	
ENSG00000198162	MAN1A2	chr1	+	117367449	117528872	0.919	0.0757	0.589	-0.0892	0.863	1	-0.0634	0.902	1
ENSG00000196924	FLNA	chrX	-	154348524	154374634	-0.141	0.564	0.86	0.207	0.396	1	0.0539	0.825	1
ENSG00000174527	MYO1H	chr12	+	109347900	109455523	1.04	0.188	0.649	-0.0483	0.953	1	0.134	0.868	1
ENSG00000198892	SHISA4	chr1	+	201888680	201892587	0.144	0.419	0.783	0.278	0.113	1	0.282	0.108	1
ENSG00000116750	UCHL5	chr1	-	193012250	193060080	0.0242	0.811	0.943	-0.00885	0.93	1	-0.0174	0.862	1
ENSG00000176946	THAP4	chr2	-	241584405	241637158	0.486	0.0253	0.589	0.184	0.398	1	0.136	0.531	1
ENSG00000167797	CDK2AP2	chr11	-	67506497	67508649	0.284	0.021	0.589	0.267	0.029	1	0.271	0.026	1
ENSG00000174021	GNG5	chr1	-	84498323	84506581	-0.0993	0.59	0.872	0.247	0.18	1	0.0923	0.616	1
ENSG00000250714	TNFRSF10A-DT	chr8	-	23225233	23230915	-1.53	0.544		-0.458	0.849	1	-1.86	0.461	
ENSG00000004468	CD38	chr4	+	15778275	15853232	0.934	0.512	0.833	1.44	0.297	1	0.817	0.563	1
ENSG00000176046	NUPR1	chr16	-	28532708	28539008	0.679	0.167	0.637	-0.201	0.684	1	0.195	0.692	1
ENSG00000074181	NOTCH3	chr19	-	15159038	15200995	0.0246	0.89	0.976	0.0585	0.742	1	0.014	0.937	1
ENSG00000260070		chr7	+	36319775	36320479	0.4	0.651	0.896	-0.231	0.799	1	-0.54	0.558	1
ENSG00000289543		chr19	+	5828335	5829289	-0.157	0.893	0.977	-0.509	0.666	1	-0.979	0.42	1
ENSG00000117133	RPF1	chr1	+	84479259	84498352	-0.126	0.507	0.829	0.0968	0.607	1	0.0926	0.622	1
ENSG00000269189		chr13	+	98233650	98234700	-0.848	0.052	0.589	-0.0571	0.886	1	-0.0757	0.849	1
ENSG00000116473	RAP1A	chr1	+	111542218	111716691	0.034	0.821	0.947	0.131	0.38	1	0.0371	0.804	1
ENSG00000177738	ANXA2R-OT1	chr5	-	43013060	43067452	-0.71	0.0362	0.589	0.114	0.728	1	-0.161	0.625	1
ENSG00000164764	SBSPON	chr8	-	73064543	73124088	-0.391	0.138	0.62	0.011	0.967	1	-0.1	0.702	1
ENSG00000285151		chr5	-	70055820	70057416	1.08	0.66		1.56	0.515		2.99	0.183	1
ENSG00000132383	RPA1	chr17	+	1829702	1900082	0.338	0.0329	0.589	0.187	0.236	1	0.165	0.298	1
ENSG00000271576	PRKACB-DT	chr1	-	84076331	84077961	-0.717	0.0633	0.589	-0.209	0.558	1	-0.434	0.229	1
ENSG00000229152	ANKRD10-IT1	chr13	-	110894639	110899172	-0.298	0.14	0.622	-0.348	0.0833	1	-0.332	0.0971	1
ENSG00000112146	FBXO9	chr6	+	53051991	53100873	0.348	0.167	0.637	-0.101	0.689	1	-0.0282	0.911	1
ENSG00000162885	B3GALNT2	chr1	-	235447190	235504452	0.0649	0.526	0.84	-0.00753	0.941	1	-0.0691	0.499	1
ENSG00000166888	STAT6	chr12	-	57095408	57132139	0.0918	0.457	0.802	-0.119	0.333	1	0.0295	0.811	1
ENSG00000157557	ETS2	chr21	+	38805183	38824955	-0.103	0.553	0.855	0.0208	0.904	1	-0.0133	0.939	1
ENSG00000177807	KCNJ10	chr1	-	159998651	160070160	-0.645	0.309	0.722	-0.223	0.704	1	0.239	0.67	1
ENSG00000261794	GOLGA8H	chr15	+	30604028	30617752	0.495	0.584	0.868	0.306	0.735	1	-0.535	0.566	1
ENSG00000179938	GOLGA8J	chr15	+	30082955	30096690	-3.47	0.181		-0.508	0.832	1	-0.945	0.696	1
ENSG00000161980	POLR3K	chr16	-	46407	53608	0.0563	0.782	0.937	-0.0188	0.926	1	-0.0241	0.905	1
ENSG00000135441	BLOC1S1	chr12	+	55716038	55720087	0.19	0.174	0.64	0.102	0.462	1	0.17	0.214	1
ENSG00000290765		chr9	-	104655363	104659055	-0.818	0.354	0.746	-0.529	0.524	1	-0.236	0.768	1
ENSG00000069812	HES2	chr1	-	6412418	6424670	0.906	0.121	0.609	-0.0677	0.908	1	0.0196	0.973	1
ENSG00000225968	ELFN1	chr7	+	1665745	1747946	-0.256	0.608	0.879	0.855	0.0706	1	0.49	0.304	1
ENSG00000137207	YIPF3	chr6	-	43511832	43516985	0.205	0.0371	0.589	0.132	0.179	1	0.0493	0.615	1
ENSG00000144199	FAHD2B	chr2	-	97083583	97094882	-0.131	0.55	0.853	-0.102	0.635	1	-0.0289	0.892	1
ENSG00000157613	CREB3L1	chr11	+	46277662	46321409	-0.0268	0.881	0.971	0.233	0.192	1	0.13	0.467	1
ENSG00000136848	DAB2IP	chr9	+	121567057	121785530	0.0683	0.695	0.91	0.171	0.325	1	0.0747	0.667	1
ENSG00000148606	POLR3A	chr10	-	77953148	78029522	0.16	0.24	0.681	-0.0356	0.794	1	-0.0432	0.751	1
ENSG00000139132	FGD4	chr12	+	32399558	32646050	-0.291	0.209	0.66	0.0203	0.93	1	-0.052	0.822	1
ENSG00000289614		chr1	-	149176141	149176931	-0.585	0.147	0.627	-0.0742	0.848	1	-0.0124	0.974	1
ENSG00000247228		chr16	-	70138337	70173483	0.495	0.733	0.922	0.246	0.865	1	0.225	0.876	1
ENSG00000281026	N4BP2L2-IT2	chr13	-	32504506	32509395	-0.284	0.0526	0.589	-0.242	0.0951	1	-0.252	0.081	1
ENSG00000134186	PRPF38B	chr1	+	108692310	108702928	-0.149	0.227	0.672	-0.204	0.0981	1	-0.103	0.402	1
ENSG00000134256	CD101	chr1	+	117001750	117036552	0.0904	0.727	0.921	-0.0327	0.898	1	-0.0106	0.966	1
ENSG00000223356		chr1	-	156712212	156713174	-0.473	0.674	0.904	-0.779	0.489	1	-0.552	0.62	1
ENSG00000286850		chr9	-	94485445	94511614	-0.279	0.813	0.943	0.791	0.476	1	-0.552	0.638	1
ENSG00000185133	INPP5J	chr22	+	31122731	31134697	0.366	0.257	0.695	0.176	0.586	1	0.11	0.733	1
ENSG00000119559	C19orf25	chr19	-	1461143	1479219	-0.0789	0.688	0.908	0.127	0.514	1	-0.117	0.546	1
ENSG00000142961	MOB3C	chr1	-	46607719	46616811	-0.253	0.15	0.628	-0.177	0.303	1	-0.0325	0.847	1
ENSG00000257550		chr12	+	53513891	53517608	2.46	0.212		2.78	0.145		2.67	0.162	1
ENSG00000152078	TLCD4	chr1	+	95117355	95197607	-0.0488	0.796	0.938	0.055	0.769	1	-0.0417	0.824	1
ENSG00000158816	VWA5B1	chr1	+	20290875	20359518	-0.206	0.854	0.959	-0.099	0.928	1	-2.01	0.122	1
ENSG00000188032	C19orf67	chr19	-	14081624	14085875	-0.951	0.648	0.895	-3.08	0.156		-0.664	0.739	1
ENSG00000162723	SLAMF9	chr1	-	159951492	159954237	-0.484	0.87	0.967	-2.48	0.409		-0.809	0.784	1
ENSG00000147231	RADX	chrX	+	106611930	106679439	0.638	0.249	0.688	-0.417	0.452	1	-0.139	0.802	1
ENSG00000175294	CATSPER1	chr11	-	66016752	66026479	0.926	0.675	0.905	0.618	0.78		1.62	0.436	1
ENSG00000156876	SASS6	chr1	-	100083563	100132955	0.369	0.151	0.628	-0.2	0.439	1	0.0327	0.899	1
ENSG00000120253	NUP43	chr6	-	149724315	149749665	0.102	0.287	0.709	0.038	0.691	1	0.0521	0.585	1
ENSG00000197223	C1D	chr2	-	68041130	68110948	0.243	0.109	0.603	0.0691	0.649	1	-0.0157	0.917	1
ENSG00000154027	AK5	chr1	+	77282019	77559966	0.0576	0.976	0.994	0.0439	0.981	1	0.986	0.581	1
ENSG00000286380		chr7	-	129763060	129780220	-0.637	0.233	0.676	-0.835	0.116	1	-0.803	0.126	1
ENSG00000287870		chr1	+	77248633	77250826	0.263	0.904	0.981	-1.05	0.644	1	1.38	0.496	1
ENSG00000188033	ZNF490	chr19	-	12576100	12640098	-0.238	0.0634	0.589	-0.0525	0.677	1	-0.0375	0.765	1
ENSG00000286365		chr22	+	21712761	21714013	0.893	0.784	0.937	-0.115	0.972		-1.18	0.721	
ENSG00000198746	GPATCH3	chr1	-	26890488	26900467	0.479	0.0923	0.594	0.0382	0.893	1	0.0945	0.74	1
ENSG00000050327	ARHGEF5	chr7	+	144355288	144380632	0.05	0.541	0.848	0.0581	0.474	1	0.0477	0.555	1
ENSG00000136167	LCP1	chr13	-	46125920	46211871	0.486	0.154	0.628	-0.138	0.686	1	0.0218	0.949	1
ENSG00000197110	IFNL3	chr19	-	39243455	39245250	0.395	0.805	0.941	-1.11	0.524	1	1.74	0.255	1
ENSG00000186710	CFAP73	chr12	+	113149724	113159276	0.115	0.971		0.746	0.814		-0.214	0.947	
ENSG00000135387	CAPRIN1	chr11	+	34051731	34102610	0.142	0.0778	0.589	0.0589	0.466	1	0.0614	0.447	1
ENSG00000008283	CYB561	chr17	-	63432304	63446354	-0.00826	0.937	0.993	0.0528	0.607	1	-0.05	0.625	1
ENSG00000132128	LRRC41	chr1	-	46261196	46303616	-0.022	0.818	0.946	0.156	0.102	1	0.0271	0.775	1
ENSG00000173486	FKBP2	chr11	+	64241003	64244132	0.631	0.0361	0.589	0.16	0.595	1	0.111	0.712	1
ENSG00000230498		chr1	+	77081984	77086402	-2.73	0.342	0.74	-2	0.486	1	-3.06	0.287	1
ENSG00000165794	SLC39A2	chr14	+	20999255	21001871	2.28	0.00343	0.589	1.57	0.0495	1	0.797	0.342	1
ENSG00000156232	WHAMM	chr15	+	82809628	82836108	-0.0928	0.472	0.81	-0.052	0.683	1	-0.00112	0.993	1
ENSG00000224750		chr10	+	90454170	90502968	-0.567	0.789	0.938	-1.59	0.467	1	-0.77	0.714	1
ENSG00000151632	AKR1C2	chr10	-	4987775	5018031	0.667	0.351	0.745	0.408	0.569	1	-0.0388	0.958	1
ENSG00000113734	BNIP1	chr5	+	173144442	173164387	-0.182	0.28	0.705	-0.149	0.369	1	-0.317	0.0566	1
ENSG00000184005	ST6GALNAC3	chr1	+	76074746	76634603	-0.57	0.28	0.705	0.148	0.777	1	0.0209	0.968	1
ENSG00000225393		chrX	+	155468286	155487046	0.494	0.796		0.924	0.619	1	-0.717	0.724	1
ENSG00000148288	GBGT1	chr9	-	133152948	133163933	0.405	0.337	0.737	-0.313	0.459	1	-0.163	0.699	1
ENSG00000237310	LINC03011	chr7	+	66493607	66495758	0.746	0.274	0.701	0.143	0.838	1	0.213	0.758	1
ENSG00000224982	TMEM233	chr12	+	119593774	119643075	0.115	0.966		0.815	0.755	1	-0.214	0.936	
ENSG00000091127	PUS7	chr7	-	105439661	105522271	0.151	0.254	0.692	-0.0484	0.715	1	0.00444	0.973	1
ENSG00000184613	NELL2	chr12	-	44508275	44921848	0.63	0.256	0.693	0.837	0.119	1	0.443	0.419	1
ENSG00000126733	DACH2	chrX	+	86148451	86832604	0.976	0.333	0.736	0.0153	0.988	1	-0.236	0.82	1
ENSG00000259256	LINC01895	chr18	-	3347696	3383532	0.763	0.293	0.712	0.178	0.808	1	0.267	0.714	1
ENSG00000198315	ZKSCAN8	chr6	+	28141883	28159460	-0.214	0.186	0.648	-0.075	0.641	1	0.0326	0.839	1
ENSG00000167523	SPATA33	chr16	+	89657740	89671272	-0.217	0.382	0.763	0.165	0.5	1	-0.0687	0.78	1
ENSG00000116273	PHF13	chr1	+	6613731	6624030	0.272	0.262	0.697	-0.121	0.62	1	-0.0793	0.744	1
ENSG00000254635	WAC-AS1	chr10	-	28522652	28533066	-0.209	0.193	0.653	-0.119	0.458	1	-0.0334	0.834	1
ENSG00000099866	MADCAM1	chr19	+	489176	505343	1.23	0.0393	0.589	0.424	0.498	1	0.338	0.589	1
ENSG00000233077	LINC01271	chr20	-	50299876	50321486	-0.798	0.697	0.911	0.402	0.83	1	1.1	0.541	1
ENSG00000260971		chr1	-	56154545	56477687	-0.135	0.848	0.957	-0.716	0.314	1	-0.276	0.694	1
ENSG00000160094	ZNF362	chr1	+	33256492	33300719	-0.289	0.166	0.637	0.207	0.318	1	0.0974	0.639	1
ENSG00000128340	RAC2	chr22	-	37225270	37259594	0.932	0.0222	0.589	0.613	0.135	1	0.166	0.691	1
ENSG00000123364	HOXC13	chr12	+	53938831	53946544	-0.646	0.0747	0.589	0.0308	0.93	1	-0.0794	0.822	1
ENSG00000125898	FAM110A	chr20	+	833715	857463	0.842	0.0978	0.597	-0.000467	0.999	1	0.119	0.815	1
ENSG00000116791	CRYZ	chr1	-	74705482	74733408	-0.275	0.261	0.697	0.119	0.626	1	0.133	0.585	1
ENSG00000182473	EXOC7	chr17	-	76081016	76121576	-0.0419	0.74	0.923	0.0545	0.665	1	0.00383	0.976	1
ENSG00000237390		chr1	+	156388226	156395609	-2.26	0.0402	0.589	-0.66	0.433	1	-0.954	0.266	1
ENSG00000244332		chr10	+	94577439	94611238	-1.16	0.315	0.725	0.0173	0.987	1	0.0812	0.94	1
ENSG00000162621	LRRC53	chr1	-	74469376	74512611	4.03	0.17		1.53	0.62		2.81	0.344	
ENSG00000148672	GLUD1	chr10	-	87050202	87094843	0.102	0.324	0.731	0.114	0.271	1	0.0529	0.61	1
ENSG00000235726		chr2	-	234803808	234913384	0.112	0.876	0.969	-0.823	0.281	1	0.339	0.623	1
ENSG00000250734		chr1	-	151612038	151613363	-0.375	0.754	0.927	-0.961	0.44	1	-1.98	0.165	1
ENSG00000162923	WDR26	chr1	-	224385146	224437033	0.455	0.142	0.623	-0.0989	0.75	1	-0.0461	0.882	1
ENSG00000160401	CFAP157	chr9	+	127706988	127716002	-0.131	0.908	0.983	-0.353	0.756	1	0.249	0.815	1
ENSG00000270231	NBPF8	chr1	+	120415035	120469676	-0.231	0.0976	0.597	-0.104	0.451	1	-0.181	0.189	1
ENSG00000264522	OTUD7B	chr1	-	149937812	150010726	-0.336	0.187	0.648	0.0939	0.712	1	0.046	0.857	1
ENSG00000254480	LINC02749	chr11	+	4179675	4202663	0.933	0.656	0.898	0.862	0.677	1	0.71	0.733	1
ENSG00000112697	TMEM30A	chr6	-	75252924	75284948	0.0895	0.349	0.743	-0.0367	0.701	1	-0.129	0.178	1
ENSG00000257048	LINC02417	chr12	+	3367833	3371346	0.56	0.851	0.958	-1.05	0.734	1	-2.11	0.494	
ENSG00000116962	NID1	chr1	-	235975830	236065109	0.0743	0.654	0.897	0.17	0.303	1	0.102	0.537	1
ENSG00000113580	NR3C1	chr5	-	143277931	143435512	-0.271	0.271	0.701	-0.0243	0.921	1	-0.127	0.604	1
ENSG00000215817	ZC3H11B	chr1	-	219608012	219613105	0.197	0.772	0.934	-1.04	0.144	1	-0.805	0.25	1
ENSG00000115541	HSPE1	chr2	+	197500140	197503449	0.372	0.0521	0.589	0.144	0.452	1	0.119	0.533	1
ENSG00000137812	KNL1	chr15	+	40594020	40664342	-0.272	0.0953	0.597	-0.149	0.359	1	-0.0768	0.637	1
ENSG00000268618		chr19	+	8549506	8550139	0.672	0.687	0.908	0.46	0.782	1	0.845	0.598	1
ENSG00000229278		chr10	-	99651595	99659284	-1.5	0.338	0.737	0.155	0.904	1	-0.0158	0.99	1
ENSG00000229276	REV3L-IT1	chr6	-	111360641	111361607	0.727	0.666	0.902	1.78	0.254	1	-0.167	0.925	1
ENSG00000172548	NIPAL4	chr5	+	157460213	157474722	-0.519	0.0167	0.589	0.0833	0.684	1	-0.0597	0.771	1
ENSG00000215845	TSTD1	chr1	-	161037631	161038977	0.163	0.266	0.699	0.171	0.238	1	0.118	0.412	1
ENSG00000085491	SLC25A24	chr1	-	108134043	108200849	-0.266	0.437	0.791	0.201	0.557	1	0.0108	0.975	1
ENSG00000260000		chr6	+	100881450	100882993	-0.709	0.0369	0.589	-0.719	0.0304	1	-0.158	0.616	1
ENSG00000147889	CDKN2A	chr9	-	21967752	21995301	-0.336	0.46	0.804	0.0426	0.925	1	0.284	0.527	1
